,first_name,last_name,college,position,match count
665,Josie,Cole,Oregon,2,10
668,Joy,Dennis,USC,3,31
670,Julia,Golbeck,San Jose State University,2,18
672,Julia,Hanson,Missouri State,2,7
675,Julia,Lewkowicz,FAU,5,11
676,Julia,Mannisto,South Carolina,3,27
678,Julia,Topor,USF,1,11
680,Julie,Varga,Stetson,4,19
682,Ka'iwi,Schucht,Hawaii,1,29
684,Kacey,Nady,Arizona,2,23
687,Kacy,Ogden,Mercer,1,17
690,Kahlee,York,LSU,5,2
692,Kaila,Dorish,FAU,4,20
694,Kaitlan,Krivdo,FGCU,5,20
695,Kaitlyn,Grice,New Orleans,3,9
700,Kaitlyn,Lines,Pacific,5,9
702,Kaitlynn,Zdroik,San Jose State University,4,8
704,Kaity,Bailey,Pepperdine,5,3
707,Kali,Fluke,Houston Baptist,5,14
709,Kalin,Eske,Coastal Carolina,5,5
711,Kara,Bajema,Washington,5,14
712,Kara,Woodard,ASU,2,13
713,Karissa,Rhoades,FGCU,2,17
715,Karlee,Reynolds,Morehead State,3,3
716,Kassidy,Naone,Portland,4,11
717,Kat,Anderson,Stanford,5,17
719,Kate,Baldwin,ASU,5,25
720,Kate,Formico,Stanford,3,25
723,Kate,Novack,Georgia State,4,27
725,Katelyn,Carballo,ASU,3,27
727,Katelyn,Mueller,Abilene Christian,3,8
728,Katelyn,Theiss,Austin Peay State,4,16
730,Katherine,Puisis,FGCU,2,16
732,Kathryn,Plummer,Stanford,1,15
733,Katie,Barker,Portland,2,11
734,Katie,Cross,ASU,4,25
737,Katie,Friesen,FIU,3,7
738,Katie,Gavin,Pepperdine,5,3
740,Katie,Horton,Florida State,2,18
743,Katie,Krawczyk,Jacksonville,1,11
747,Katie,McCullough,UNC Wilmington,3,14
750,Katie,Pyles,Grand Canyon,2,8
754,Katie,Sarber,Grand Canyon,4,5
756,Katie,Sato,Cal State Northridge,1,16
759,Katie,Smith,South Carolina,2,24
761,Katie,Will,Jacksonville State,1,23
762,Katinka,Krahn,Stetson,4,6
763,Katinka,Krahn,Stetson,5,6
764,Katja,Ehlers,College of Charleston,1,24
766,Katrin,Gotterba,Pacific,3,21
770,Katrina,Kernochan,USC,5,7
771,Katya,Silveira,Houston Baptist,3,24
773,Kayla,Armer,Houston Baptist,2,27
775,Kayla,Frear,Jacksonville State,5,3
776,Kayla,Gallant,ULM,2,18
779,Kayla,Long,New Mexico,5,13
