,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
1577,3,Samantha Harris,Rachel Noble,Eastyn Baleto,Lauren Twitty,New Mexico,Stetson,1107,20180316
1578,4,Julie Varga,Lauren Durham,Carly Beddingfield,Abbey Wilson,Stetson,New Mexico,1107,20180316
1579,5,Quinci Birker,Rebecca Ingram,Kayla Long,Emily Nenninger,Stetson,New Mexico,1107,20180316
1580,1,Katja Ehlers,Krissy Mummey,Gabrielle Dischler,Jessalyn Kinlaw,College of Charleston,FAU,1108,20180316
1581,2,Devon Rachel,Mckala Rhodes,Brittany Pellitteri,Carly Scarborough,College of Charleston,FAU,1108,20180316
1582,3,Kennedy Madison,Riana  Brennan,Nicole Navarro,Nicole Grant,College of Charleston,FAU,1108,20180316
1583,4,Allison Beckman,Lauren Freed,Erica Brok,Mackenzie Morris,FAU,College of Charleston,1108,20180316
1584,5,Taylor Foley,Logan Manusky,Amanda Silva,Kaila Dorish,FAU,College of Charleston,1108,20180316
1585,1,Devon May,Kenley Adams,Gabby Love,Grace Convey,UAB,ULM,1109,20180316
1586,2,Avei Logoleo,Haley Jared,Maile Sellers,Kayla Gallant,UAB,ULM,1109,20180316
1587,3,Gabbi Moreno,Emily Martinez,Catherine Griffith,Rebecca Brown,ULM,UAB,1109,20180316
1588,4,Tressa Buckland,Kaylee McClure,Bailey Smith,Allie Kemp,UAB,ULM,1109,20180316
1589,5,Erin Bognar,Sallianne Napolitano,Holland Ponthieux,McKenna Webster,UAB,ULM,1109,20180316
1590,1,Devon May,Kenley Adams,Grace Convey,Gabby Love,UAB,ULM,1110,20180316
1591,2,Avei Logoleo,Haley Jared,Maile Sellers,Kayla Gallant,UAB,ULM,1110,20180316
1592,3,Gabbi Moreno,Emily Martinez,Rebecca Brown,Catherine Griffith,ULM,UAB,1110,20180316
1593,4,Tressa Buckland,Kaylee McClure,Bailey Smith,Allie Kemp,UAB,ULM,1110,20180316
1594,5,Erin Bognar,Sallianne Napolitano,Holland Ponthieux,McKenna Webster,UAB,ULM,1110,20180316
1595,1,Federica Frasca,Margherita Bianchin,Savannah Siegrist,Mackenzie Swan,FIU,Jacksonville,1111,20180316
1596,2,Dorina Klinger,Erika Zembyla,Cristina Finan,Shelby Babowicz,FIU,Jacksonville,1111,20180316
1597,3,Lina Bernier,Madison Besterfield,Morgan Dees,Katie Krawczyk,FIU,Jacksonville,1111,20180316
1598,4,Estefanie  Bethancourt,Natalia Giron,Shaylee Befus,Lauren Petersen,FIU,Jacksonville,1111,20180316
1599,5,Mariana Dal Pozzo,Taija Thomas,Mallory Mattingly,Hannah Marchand,FIU,Jacksonville,1111,20180316
1600,1,Hayley Tippett,Megan Nash,Sophie Peel,Kacy Ogden,Central Arkansas,Mercer,1112,20180316
1601,2,Delaney Driver,MC Rogers,Jessica Johnson,Elli Gibson,Central Arkansas,Mercer,1112,20180316
1602,3,Jessica Martinez,Stephanie Pollnow,Amber Gibson,Gracie Garanich,Central Arkansas,Mercer,1112,20180316
1603,4,Kristine Hjembo,Colene Hamilton,Lela Mcintosh,Marina Chavez,Central Arkansas,Mercer,1112,20180316
1604,5,Mackenzie  Dear,Shelby Holmes,Kylie Keeling,Emilee Wissmach,Central Arkansas,Mercer,1112,20180316
1605,1,Alexia Inman,Mima Mirkovic,Payton Rund,Morgan Hughes,Saint Mary's,Cal,1113,20180316
1606,2,Iya Lindahl,Jessica Gaffney,Lindsey Knudsen,Emily Bible,Cal,Saint Mary's,1113,20180316
1607,3,Bryce Bark,Madison Dueck,Sarah Chase,Mary Hernandez,Cal,Saint Mary's,1113,20180316
1608,4,Caroline Schafer,Mia Merino,Lindsey Calvin,Kelsey Knudsen,Cal,Saint Mary's,1113,20180316
1609,5,Grace Campbell,Maddie Micheletti,Madi Wilkerson,Sienna Young,Cal,Saint Mary's,1113,20180316
1610,1,Alexia Inman,Mima Mirkovic,Sarah Davis,Mikaela Nocetti,Cal,"Cal State University, Sacramento",1114,20180316
1611,2,Iya Lindahl,Jessica Gaffney,Kennedy Kurtz,Lana Brown,Cal,"Cal State University, Sacramento",1114,20180316
1612,3,Bryce Bark,Madison Dueck,Hannah Meadows,Ashtin Olin,Cal,"Cal State University, Sacramento",1114,20180316
1613,4,Caroline Schafer,Mia Merino,Sarah Falk,Skyler Takeda,Cal,"Cal State University, Sacramento",1114,20180316
1614,5,Grace Campbell,Maddie Micheletti,Brigitte Murdock,Cianna Andrews,Cal,"Cal State University, Sacramento",1114,20180316
1615,1,Margherita Bianchin,Federica Frasca,Maddie Irwin,Erin Martin,FIU,New Mexico,1115,20180316
1616,2,Dorina Klinger,Erika Zembyla,Eastyn Baleto,Lauren Twitty,New Mexico,FIU,1115,20180316
1617,3,Anabela Sataric,Helene Thelle,Yasmin Tan,Chloe Crappell,New Mexico,FIU,1115,20180316
1618,4,Estefanie  Bethancourt,Natalia Giron,Kayla Long,Mercedes Pacheco,FIU,New Mexico,1115,20180316
1619,5,Mariana Dal Pozzo,Taija Thomas,Abbey Wilson,Carly Beddingfield,FIU,New Mexico,1115,20180316
1620,1,Emily Hansen,Sydney Haynes,Taylor Fricano,Veronica Snelling,Missouri State,Cal State Bakersfield,1116,20180316
1621,2,Sarah Garrow,Desiree Sukhov,Aubrey Cheffey,Julia Hanson,Cal State Bakersfield,Missouri State,1116,20180316
1622,3,Emily Lopes,Mattison Degarmo,Sam Brinkmann,Mikaela Mosquera,Cal State Bakersfield,Missouri State,1116,20180316
1623,4,Ally  Barber ,Krista Hernandez,Sarah Demmer,Caroline Finnell,Missouri State,Cal State Bakersfield,1116,20180316
1624,5,Aleksandra Djordjevic,Briannah Mariner,Lynsey Wright,Ivy Reynolds,Cal State Bakersfield,Missouri State,1116,20180316
1625,1,Carly Perales,Sunniva Helland-Hansen,Maddy Kline,Nicole Lott,Stetson,UNC Wilmington,1117,20180316
1626,2,Darby Dunn,Sammee Thomas,JM Lewandowski,Halle Hunt,Stetson,UNC Wilmington,1117,20180316
1627,3,Samantha Harris,Rachel Noble,Sarah Kelly,Raquel Rooney,Stetson,UNC Wilmington,1117,20180316
1628,4,Lauren Durham,Julie Varga,Katie McCullough,Brynn Montgomery,Stetson,UNC Wilmington,1117,20180316
1629,5,Rebecca Ingram,Quinci Birker,Jaime Thomas,Courtney Mullinax,Stetson,UNC Wilmington,1117,20180316
1630,1,Madeline Mertz,Kaylie Mchugh,Sophie Peel,Kacy Ogden,Tulane,Mercer,1118,20180316
1631,2,Ashley Delgado,Rio Frohoff,Jessica Johnson,Elli Gibson,Tulane,Mercer,1118,20180316
1632,3,Lan Nguyen,Tarin Mergener,Amber Gibson,Gracie Garanich,Tulane,Mercer,1118,20180316
1633,4,Addison Hermstad,Anna Chin,Lela Mcintosh,Marina Chavez,Tulane,Mercer,1118,20180316
1634,5,Lauren Orlich,Gabriella Becerra,Emilee Wissmach,Kylie Keeling,Tulane,Mercer,1118,20180316
1635,1,Madeline Mertz,Kaylie Mchugh,Ginny Gerig,Cecily Gable,Tulane,Austin Peay State ,1119,20180316
1636,2,Ashley Delgado,Rio Frohoff,Jenna Panning,Brooke Moore,Tulane,Austin Peay State ,1119,20180316
1637,3,Lan Nguyen,Tarin Mergener,Haley Turner,Caroline Waite,Tulane,Austin Peay State ,1119,20180316
1638,4,Addison Hermstad,Anna Chin,Ashley Slay,Katelyn Theiss,Tulane,Austin Peay State ,1119,20180316
1639,5,Lauren Orlich,Kendyl Brennan,Kaylee Taff,Chloe Stitt,Tulane,Austin Peay State ,1119,20180316
1640,1,Krissy Mummey,Katja Ehlers,Mackenzie Swan,Savannah Siegrist,College of Charleston,Jacksonville,1120,20180316
1641,2,Devon Rachel,Mckala Rhodes,Morgan Dees,Katie Krawczyk,College of Charleston,Jacksonville,1120,20180316
1642,3,Kennedy Madison,Riana  Brennan,Mallory Mattingly,Lauren Petersen,College of Charleston,Jacksonville,1120,20180316
1643,4,Allison Beckman,Lauren Freed,Shelby Babowicz,Cristina Finan,College of Charleston,Jacksonville,1120,20180316
1644,5,Taylor Foley,Logan Manusky,Shaylee Befus,Hannah Marchand,College of Charleston,Jacksonville,1120,20180316
1645,1,Hayley Tippett,Megan Nash,Gabby Love,Grace Convey,Central Arkansas,ULM,1121,20180316
1646,2,Delaney Driver,MC Rogers,Catherine Griffith,Rebecca Brown,Central Arkansas,ULM,1121,20180316
1647,3,Jessica Martinez,Stephanie Pollnow,Maile Sellers,Kayla Gallant,ULM,Central Arkansas,1121,20180316
1648,4,Kristine Hjembo,Colene Hamilton,Allie Kemp,Bailey Smith,Central Arkansas,ULM,1121,20180316
1649,5,Mackenzie  Dear,Shelby Holmes,Holland Ponthieux,Taylor  Meyer,ULM,Central Arkansas,1121,20180316
1650,1,Mackenzie Allen,Amanda Carroll,Melissa Elias,Sorrel  Houghton,FGCU,Tampa,1122,20180316
1651,2,Giovanna Borgiotti,Ashley Glickert,Gabbi Pacatte,Leigh Buttner,Tampa,FGCU,1122,20180316
1652,3,Katherine Puisis,Karissa Rhoades,Katie McKiel,Nicole Dominguez,FGCU,Tampa,1122,20180316
1653,4,Kayla Whetstone,Snowy Burnam,Alexandra Misca,Sarah Moore,FGCU,Tampa,1122,20180316
1654,5,Kaitlan Krivdo,Alanya Ryan,Nylah Demps,Marisa Beisner,FGCU,Tampa,1122,20180316
1655,1,Jasmine Dixon,Heather Emory,Viridiana Serrano,Mikelle Taylor,Santa Ana College,Antelope Valley College,1123,20180316
1656,2,Bailey Green,Bella Bradford,Iliana Mendoza,Britany Tran,Antelope Valley College,Santa Ana College,1123,20180316
1657,3,Melissa Lee,Elizabeth Perez,Kayla Long,Kassandra Murillo,Antelope Valley College,Santa Ana College,1123,20180316
1658,4,Taylor Williams,Alexandria Peacon,Lily Reissmueller,Karissa Mumford,Antelope Valley College,Santa Ana College,1123,20180316
1659,5,Bailey Whiteford,Darby Alva,Destinee Blue,Stephanie Huerta,Santa Ana College,Antelope Valley College,1123,20180316
1660,1,Viridiana Serrano,Mikelle Taylor,Brittney Diffine,Marcella Rodriguez,Santa Ana College,Riverside City College,1124,20180316
1661,2,Iliana Mendoza,Britany Tran,Natalie Escher,Julia Balancier,Santa Ana College,Riverside City College,1124,20180316
1662,3,Kayla Long,Kassandra Murillo,Madison Bogh,Roni Lopez,Santa Ana College,Riverside City College,1124,20180316
1663,4,Lily Reissmueller,Karissa Mumford,Delaney Beck,Lauren Dunmore,Riverside City College,Santa Ana College,1124,20180316
1664,5,Hannah Degrasse,Destinee Blue,Patricia Brucks,Rozarya Barrett,Santa Ana College,Riverside City College,1124,20180316
1665,1,Brittney Diffine,Marcella Rodriguez,Jasmine Dixon,Heather Emory,Riverside City College,Antelope Valley College,1125,20180316
1666,2,Julia Balancier,Natalie Escher,Bailey Green,Bella Bradford,Riverside City College,Antelope Valley College,1125,20180316
1667,3,Madison Bogh,Roni Lopez,Melissa Lee,Elizabeth Perez,Riverside City College,Antelope Valley College,1125,20180316
1668,4,Delaney Beck,Lauren Dunmore,Alexandria Peacon,Taylor Williams,Riverside City College,Antelope Valley College,1125,20180316
1669,5,Patricia Brucks,Rozarya Barrett,Bailey Whiteford,Darby Alva,Riverside City College,Antelope Valley College,1125,20180316
1670,1,Payton Gidney,Julie Vujnovich,Abby Cash,Lindsey Nartker,Spring Hill College,Lincoln Memorial,1126,20180316
