,Name,Year,Height,Hometown/HS,Team
3,Celine Christensen,So,6'3,"Salem, Utah",Boise State
4,Drew Hanneman,Fr,5'5,"Flagstaff, Az",Boise State
5,Janell Walley,So,5'11,"Yucaipa, Ca",Boise State
6,Jaymee-Lee Bulda,Sr,5'5,"Sacramento, Ca",Boise State
7,Jensen Allen,So,5'10,"Brea, Ca",Boise State
8,Kenna Hanses,So,6'0,"Renton, Wa",Boise State
9,Keri Leake,Fr,6'1,"Clovis, Ca",Boise State
10,Kiley Lewis,Fr,6'2,"Auburn, Wa",Boise State
11,Kylee Johnson,Fr,5'6,"New Braunfels, Tx",Boise State
12,Lizzie Wilson,Fr,6'0,"San Diego, Ca",Boise State
13,Maddi Osburn,Sr,5'7,"Nampa, Id",Boise State
14,Maddie Simon,So,5'4,"West Liberty, Ia",Boise State
15,Maya Watkins,Fr,5'9,"Snohomish, Wa",Boise State
16,Morginne DeMarco,R-So,5'7,"Bakersfield, Ca",Boise State
17,Sabryn Roberts,Jr,5'9,"Torrance, Ca",Boise State
18,Sierra Nobley,Sr,6'1,"Scottsdale, Az",Boise State
19,Skye Southwick,Jr,5'7,"Cambridge, Id",Boise State
20,Tiaja McKnight,Jr,6'2,"Los Angeles, Ca",Boise State
0,Cali Thompson,R-So,6'0,"Las Vegas, Nv",Portland
1,Carey Williams,Fr,5'7,"Kahuku, Hi",Portland
2,Emily DeMots,Fr,6'2,"Portland, Or",Portland
3,Emma  Scanlan,So,5'7,"Moraga, Ca",Portland
4,Hannah  Troutman,Sr,5'10,"Powell Butte, Ore",Portland
5,Izzy Guzik,R-Fr,6'0,"San Diego, Ca",Portland
6,Kassidy Naone,Fr,5'11,"Kailua, Hi",Portland
7,Katie Barker,R-So,6'1,"Los Altos, Ca",Portland
8,Kellie Hughes,Fr,5'6,"Livermore, Ca",Portland
9,Lauren Naatz,Jr,5'3,"Salt Lake City, Ut",Portland
10,Liz Reich,Fr,6'1,"Colorado Springs, Co",Portland
11,McKenzie Schwan,Fr,5'8,"Auburn, Wa",Portland
12,Morgan Robinson,Sr,5'11,"Sunnyvale, Ca",Portland
13,Reghan Pukis,Jr,6'1,"Tacoma, Wa",Portland
14,Sarah Savoca,Sr,6'1,"Santa Cruz, Ca",Portland
15,Tani Stephens,GS,5'8,"Albany, Ore",Portland
0,Adlee Van Winden,Jr,6'1,"Napa, Ca",Cal Poly SLO
1,Brayden Gruenewald,So,5'9,"Southlake, Tx",Cal Poly SLO
2,Dora Beilin,Jr,5'11,"Berkeley, Ca",Cal Poly SLO
3,Emily Sonny,So,5'11,"Arroyo Grande, Ca",Cal Poly SLO
4,Hannah Hubbard,Sr,5'8,"San Diego, Ca",Cal Poly SLO
5,Heather Pembroke,So,5'9,"Chico, Ca",Cal Poly SLO
6,Jamie Stivers,Fr,6'2,"Coppell, Tx",Cal Poly SLO
7,Jessica  Manley,So,6'0,"Escondido, Ca",Cal Poly SLO
8,Kassandra Wright,Jr,5'9,"Temecula, Ca",Cal Poly SLO
9,Macy Gordon,Fr,5'8,"Paradise Valley, Az",Cal Poly SLO
10,Olivia Lee,Fr,6'1,"Tiburon, Ca",Cal Poly SLO
11,Peyton Sper,Fr,5'10,"Camarillo, Ca",Cal Poly SLO
12,Raeann Greisen,Sr,6'2,"San Diego, Ca",Cal Poly SLO
13,Sam Manley,Jr,5'10,"San Diego, Ca",Cal Poly SLO
14,Sjea Anderson,Fr,5'9,"Scotts Valley, Ca",Cal Poly SLO
15,Skyler Spooner,Fr,5'6,"Flower Mound, Tx",Cal Poly SLO
16,Taylor Nelson,Sr,6'0,"Granite Bay, Ca",Cal Poly SLO
17,Teiana Cataldo,Fr,5'10,"Honolulu, Hi",Cal Poly SLO
18,Tessa Tooman,Jr,5'10,"La Jolla, Ca",Cal Poly SLO
19,Tia Miric,Fr,5'8,"Ontario, Canada",Cal Poly SLO
20,Torrey Van Winden,So,6'3,"Napa, California",Cal Poly SLO
0,Anabela Sataric,GS,6'2,"Biberist, Switzerland",FIU
1,Ashley Klassen,Fr,5'7,"Tsawwasse, Canada",FIU
2,Brooke Bailey,So,5'9,"Tampa, Fl",FIU
3,Dorina Klinger,Jr,6'1,"Feldkirchen, Austria",FIU
4,Erika Zembyla,R-Jr,6'0,"Nicosia, Cyprus",FIU
5,Erin Byrne,Fr,5'11,"San Diego, Ca",FIU
6,Estefanie  Bethancourt,Sr,6'0,"Guatemala City, Guatemala",FIU
7,Federica Frasca,So,5'9,"Rome, Italy",FIU
8,Helene Thelle,So,5'10,"Tolvsrød, Norway",FIU
9,Katie Friesen,Jr,5'9,"Manitoba, Canada",FIU
10,Lina Bernier,R-So,5'10,"San Juan, Puerto Rico",FIU
11,Mackenzie  Walker,So,5'9,"Sarasota, Fl",FIU
12,Madison Besterfield,Fr,6'3,"Tampa, Fl",FIU
13,Margherita Bianchin,Jr,6'0,"Traviso, Italy",FIU
14,Mariana Dal Pozzo,Sr,5'7,"Toledo, Brazil",FIU
15,Mariana De Paula Silva,Sr,5'11,"Sao Jose dos Campos, Brazil",FIU
16,Natalia Giron,Sr,6'2,"Guatemala City, Guatemala",FIU
17,Samantha Lemmon,Fr,5'6,"Boca Raton, Fl",FIU
18,Taija Thomas,Sr,6'0,"Scarborough, Ontario, Can",FIU
0,Amanda Silva,Jr,5'10,"MaceiA, Brazil",FAU
1,Ashlan  Cunningham,Jr,5'6,"Colleyville, Tx",FAU
2,Bailey Myott,Fr,5'5,"Boynton Beach, Fl",FAU
3,Brittany Pellitteri,Sr,5'7,"Deerfield Beach, Fl",FAU
4,Candace Lacour,So,5'8,"Buckeye, Az",FAU
5,Carly Scarborough,GS,6'1,"Sarasota, Fl",FAU
6,Erica Brok,Fr,5'9,"Ormond Beach, Fl",FAU
7,Gabrielle Dischler,Sr,5'9,"Naples, Fl",FAU
8,Jazmine Barker,Jr,5'10,"Palm Harbor, Fl",FAU
9,Jessalyn Kinlaw,Sr,5'6,"Bradenton, Fl",FAU
10,Johannah Cummines,Fr,5'6,"New Port Richey, Fl",FAU
11,Julia Lewkowicz,Jr,5'11,"Coral Springs, Fl",FAU
12,Kaila Dorish,Fr,5'11,"Royal Palm Beach, Fl",FAU
13,Lauren Galinis,So,5'8,"Delray Beach, Fl",FAU
14,Mackenzie Morris,Fr,5'10,"Jacksonville, Fl",FAU
15,Mazarine Tsuji,Fr,5'8,"Hallandale, Fl",FAU
16,Megan McGrath,So,5'10,"Boca Raton, Fl",FAU
17,Nicole Navarro,Jr,5'7,"Boca Raton, Fl",FAU
18,Nicole Grant,Jr,6'0,"Bradenton, Fl",FAU
19,Sam Gott,So,5'9,"Loxahatchee, Fl",FAU
0,Alex Holt,R-Jr,6'0,"Sacramento, Ca",Pacific
1,Andie Shelton,Sr,5'9,"Stockton, Ca",Pacific
2,Ashlyn Fleming,So,6'4,"San Jose, Ca",Pacific
3,Emily Baptista,So,6'2,"Hilmar, Ca",Pacific
4,Hanne De Schrijver,Fr,5'10,"Serskamp, Belgium",Pacific
5,Kaitlyn Lines,Fr,6'0,"Gilbert, Az",Pacific
6,Katrin Gotterba,Sr,5'6,"Stockton, Ca",Pacific
7,Maycie LaBass,Sr,6'0,"Modesto, Ca",Pacific
8,Olivia Petnicki,So,5'4,"Vacaville, Ca",Pacific
9,Roni Long,Jr,5'10,"Porterville, Ca",Pacific
10,Skylar Wine,So,6'2,"Phoenix, Az",Pacific
11,Taylor Poncetta,Sr,5'11,"San Jose, Ca",Pacific
0,Avery Arellano,So,5'10,"Lucas, Tx",TCU
1,Brooke Sassin,Sr,6'0,"San Antonio, Tx",TCU
2,Cassie House,Sr,6'2,"Rio Rancho, NM",TCU
3,Claire Doyle,So,5'10,"Atlanta, Ga",TCU
4,Hannah Rogers,Fr,5'8,"Santa Ynez, Ca",TCU
5,Haven Hill,So,5'8,"Ventura, Ca",TCU
6,Jaelyn Greene,Jr,5'9,"Mission Viejo, Ca",TCU
7,Jensyn Bledsoe,So,5'7,"Pinehurst, Tx",TCU
8,Jillian Bergeson,Sr,6'2,"Friendswood, Tx",TCU
9,Jordan Terral,Jr,5'6,"Encinitas, Ca",TCU
10,Jordan Westendorf,Fr,5'9,"Dallas, Tx",TCU
11,Kristy Wieser,Sr,6'2,"Lincoln, Ne",TCU
12,Madison Borowski,Jr,5'9,"Austin, Tx",TCU
13,Molly Scheel,Jr,5'9,"Phoenix, Az",TCU
14,Olivia Canales,Jr,6'1,"Lexington, Ky",TCU
0,Abbey Wilson,Fr,5'11,"Albuquerque, N.M.",New Mexico
1,Carly Beddingfield,Jr,6'3,"Albuquerque, NM",New Mexico
2,Chloe Crappell,Sr,5'7,"Albuquerque, NM",New Mexico
3,Eastyn Baleto,Sr,5'8,"Seattle, Wa",New Mexico
4,Emily Nenninger,So,5'5,"Albuquerque, N.M.",New Mexico
5,Erin Martin,Fr,5'7,"Denver, Co",New Mexico
6,Hailey Rubino,Fr,5'11,"Leesburg, Va",New Mexico
7,Kayla Long,Fr,5'3,"Tucson, Az",New Mexico
8,Lauren Twitty,GS,6'1,"Broadlands, Va",New Mexico
9,Maddie Irwin,Sr,5'11,"Tucson, Az",New Mexico
10,Mercedes Pacheco,,5'2,,New Mexico
11,Morgan Schreckler,Fr,6'1,"Phoenix, Az",New Mexico
12,Yasmin Tan,Fr,5'11,"Melbourne, Australia",New Mexico
0,Blossom Sato,Sr,5'9,"Santa Monica, Ca",Mississippi State
1,Emily Hill,Jr,6'6,"Denton, Tx",Mississippi State
2,Katie Nicholson,Sr,6'2,"Aledo, Tx",Mississippi State
3,Khris Carr,Sr,5'11,"Starkville, Miss",Mississippi State
4,Liv Benner,Jr,6'6,"Danville, Ind",Mississippi State
5,Sara Maddox,So,6'2,"Leawood, Kan",Mississippi State
0,Aeriel Horton,Jr,5'7,"Waxahachie, Tx",Houston Baptist
1,Bailey Banks,Sr,5'10,"Missouri City, Tx",Houston Baptist
2,Brennan Miller,Fr,5'6,"Claremont, Ca",Houston Baptist
3,Danielle Wheeler,So,6'0,"San Diego, Ca",Houston Baptist
4,Jessica Wooten,GS,5'11,"Humble, Tx",Houston Baptist
5,Jordyn Miller,Fr,5'8,"Phoenix, Az",Houston Baptist
6,Kali Fluke,Sr,6'1,"San Antonio, Tx",Houston Baptist
7,Katya Silveira,Fr,5'9,"Houston, Tx",Houston Baptist
8,Kayla Armer,GS,6'0,"Bradenton, Fl",Houston Baptist
9,Madison O'Brien,Jr,5'9,"Cleveland, Tx",Houston Baptist
10,Meagan Carter,Fr,5'8,"Bakersfield, Ca",Houston Baptist
11,Mikayla Vivens,Fr,"5'9""","San Antonio, Texas/ Warren",Houston Baptist
12,Tori Hinojosa,So,5'8,"San Antonio, Tx",Houston Baptist
0,Alexa Richardson,So,5'7,"Austin, Tx",Stetson
1,Brynn Carrick,Fr,5'8,"Hampstead, N.C.",Stetson
2,Carly Perales,So,5'9,"Round Rock, Tx",Stetson
3,Caroline Pomet,Jr,5'4,"Lutz, Fl",Stetson
4,Darby Dunn,So,6'0,"South Surrey, B.C.",Stetson
5,Grace Christiansen,So,5'7,"Lantana, Tx",Stetson
6,Julie Varga,So,6'0,"Fredrikstad, Norway",Stetson
7,Katinka Krahn,So,5'11,"Oslo, Norway",Stetson
8,Lauren Durham,Jr,5'5,"Apex, NC",Stetson
9,Lexi  Ham,So,5'6,"Scottsdale, Az",Stetson
10,Quinci Birker,Fr,5'10,"Kelowna, B.C.",Stetson
11,Rachel Noble,Jr,5'10,"Carlsbad, Ca",Stetson
12,Rebecca Ingram,Fr,6'0,"Riverslea, Australia",Stetson
13,Samantha Harris,Jr,5'7,"Arlington, Va",Stetson
14,Sammee Thomas,Jr,5'7,"Huntington Beach, Ca",Stetson
15,Sunniva Helland-Hansen,So,5'8,"Oyeste, Norway",Stetson
0,Anna Dalla Vecchia,Fr,,,USF
1,Camille Araujo,So,5'7,"Long Beach, Ca",USF
2,Carly Lowry,So,5'11,"Tucson, Az",USF
3,Emily Zinger,Fr,,"Little Elm, Tx",USF
4,Erica Ronda,Fr,,"Chandler, Az",USF
5,Erin Anthony,Fr,,"Sugar Land, Tx",USF
6,Haley Howell,GS,5'10,"Tucson, Az",USF
7,Julia Topor,GS,,,USF
8,Kate Ashman,So,6'3,"Cyrpress, Ca",USF
9,Laura Leap,Jr,,"Thousand Oaks, Ca",USF
10,Madelyn LaFollette,Fr,,"Alameda, Ca",USF
11,Marjolijn  Oskam,Sr,6'4,"Bussum, Netherlands",USF
12,Nora Buvarp Lavik,Sr,6'3,"Tonsberg, Norway",USF
13,Pi'ikea Clemens,Fr,,"Kailua, Hi",USF
14,Sabrina Blackwell,GS,,"San Jose, Ca",USF
15,Shannon Levinson,So,5'3,"Los Angeles, Ca",USF
16,Trish Koutsoukos,So,5'7,"Sydney, Aus",USF
0,Breann Robinson,Sr,6'0,"Jamestown, Ca",San Jose State University
1,Ciara Reistad,Sr,5'7,"La Quinta, Ca",San Jose State University
2,Fernanda Vido,R-So,5'10,"Belo Horizonte, Brazil",San Jose State University
3,Giulia Gavio,Jr,6'0,"Rio de Janeiro, Brazil",San Jose State University
4,Hayley Sturgeon,Jr,6'2,"Mountain View, Ca",San Jose State University
5,Jamie Hirai,Sr,5'7,"Honolulu, Hi",San Jose State University
6,Julia Golbeck,Jr,6'0,"Sugar Grove, Ill",San Jose State University
7,Kaitlynn Zdroik,So,5'9,"Brentwood, Ca",San Jose State University
8,Laura  Parts,So,6'2,"Parnu, Estonia",San Jose State University
9,Luiza Andrade,Jr,5'5,"Rio de Janeiro, Brazil",San Jose State University
10,Lyndi Scholl,GS,5'10 ,"Kaneville, Ill",San Jose State University
11,Nandyala Gama,Sr,6'3,"Rio de Janeiro, Brazil",San Jose State University
12,Ryann Thomison,Fr,6'0,"Sacramento, Ca",San Jose State University
13,Summer Avery,Sr,5'11,"Tucscon, Az",San Jose State University
14,Thaliana Grajeda,So,6'0,"Clovis, Ca",San Jose State University
0,Aleksandra Djordjevic,Sr,6'0,"Belgrade, Serbia",Cal State Bakersfield
1,Ally  Barber,R-So,6'0,"Maltby, Wa",Cal State Bakersfield
2,Ashley Prater,So,5'7,"Glendale, Az",Cal State Bakersfield
3,Bailey Smith,Fr,6'2,"Phoenix, Az",Cal State Bakersfield
4,Briannah Mariner,Jr,5'10,"Salt Lake City, Ut",Cal State Bakersfield
5,Brooke Boiseau,Fr,6'1,"Scottsdale, Az",Cal State Bakersfield
6,Desiree Sukhov,Fr,6'0,"Murrieta Valley, Ca",Cal State Bakersfield
7,Emily Hansen,Fr,5'10,"Bakersfield, Ca",Cal State Bakersfield
8,Emily Lopes,Sr,5'7,"Bakersfield, Ca",Cal State Bakersfield
9,Fabina Andrade,Sr,5'7,"Sao Paulo, Brazil",Cal State Bakersfield
10,Hannah Manzanares,Jr,5'7,"Phoenix, Az",Cal State Bakersfield
11,Haylee Roberts,R-Sr,6'2,"Bakersfield, Ca",Cal State Bakersfield
12,Kayla Tinker,So,5'9,"San Clemente, Ca",Cal State Bakersfield
13,Krista Hernandez,Fr,5'5,"Culver City, Ca",Cal State Bakersfield
14,Madi Busler,So,5'11,"Aurora, Co",Cal State Bakersfield
15,Marina Sanches,R-Jr,6'3,"Sao Paulo, Brazil",Cal State Bakersfield
16,Mattison Degarmo,Jr,6'3,"Castle Rock, Co",Cal State Bakersfield
17,Sarah Garrow,So,5'10,"Vancouver, Wa",Cal State Bakersfield
18,Sydney Haynes,GS,6'2,"Vancouver, Wa",Cal State Bakersfield
19,Sydney Wicks,R-Jr,5'8,"Aurora, Co",Cal State Bakersfield
20,Tasha Skabelund,Fr,6'0,"Stevenson Ranch, Ca",Cal State Bakersfield
0,Allison Beckman,Jr,,"Apex, NC",College of Charleston
1,Brittany Velez,Sr,,"Mt Pleasant, S.C.",College of Charleston
2,Devon Rachel,Jr,,"Louisville, Ky",College of Charleston
3,Ella Ridinger,Fr,,"Glen Ellyn, Ill",College of Charleston
4,Jane Feddersen,Sr,,"Leesburg, Va",College of Charleston
5,Katja Ehlers,So,,"Raleigh, NC",College of Charleston
6,Kennedy Madison,Jr,,"Evansville, Ind",College of Charleston
7,Krissy Mummey,Sr,,"Hudson, Oh",College of Charleston
8,Lauren Hollman,Sr,5'10,"Union, Ky",College of Charleston
9,Lauren Freed,So,,"Troy, Oh",College of Charleston
10,Logan Manusky,Fr,,"San Diego, Ca",College of Charleston
11,Mandy Napierala,So,,"Irondequoit, N.Y.",College of Charleston
12,Mckala Rhodes,Jr,,"Charleston, SC",College of Charleston
13,Megan Morris,Jr,,"Mt Pleasant, S.C.",College of Charleston
14,Meghan Murphy,So,,"Orange, Ca",College of Charleston
15,Natalie Tucker,Sr,,"Isle of Palms, S.C.",College of Charleston
16,Peyton Eisnaugle,So,,"Dallas, Tx",College of Charleston
17,Riana  Brennan,Sr,,"Los Gatos, Ca",College of Charleston
18,Taylor Foley,Jr,,"Agoura Hills, Ca",College of Charleston
0,Anna Grauel,Jr,6'0,"Montclair, Va",UNC Wilmington
1,Brynn Montgomery,Fr,6'0,"Fort Collins, Co",UNC Wilmington
2,Cassie Thompson,Fr,5'7,"Brown Summit, N.C.",UNC Wilmington
3,Courtney Mullinax,Jr,5'5,"Wilmington, N.C.",UNC Wilmington
4,Elena Turnbull,Fr,5'10,"Salisbury, N.C.",UNC Wilmington
5,Halle Hunt,Jr,5'11,"Greensboro, NC",UNC Wilmington
6,Jaime Thomas,Fr,6'0,"Hamilton, Ontario (Canada)",UNC Wilmington
7,Jazzell Mangosing,Fr,5'2,"Virginia Beach, Va",UNC Wilmington
8,JM Lewandowski,Fr,6'0,"Hendersonville,Tn",UNC Wilmington
9,Kati Smith,So,5'9,"Raleigh, N.C.",UNC Wilmington
10,Katie McCullough,Jr,5'10,"Raleigh, NC",UNC Wilmington
11,Kyla Augustine,Fr,6'0,"St Charles, Ill",UNC Wilmington
12,Maddy Kline,Jr,6'1,"Palmyra, Va",UNC Wilmington
13,Nicole Lott,GS,5'11,"West Chester, Pa",UNC Wilmington
14,Raquel Rooney,So,5'7,"Raleigh, NC",UNC Wilmington
15,Reagan Evans,Fr,5'7,"Largo, Fl",UNC Wilmington
16,Sarah Kelly,Sr,6'0,"Raleigh, NC",UNC Wilmington
0,Allie Elson,Sr,5'6,"Woodstock, Ga",Georgia State
1,Amie  Held,GS,5'9,"Festus, Mo",Georgia State
2,Annika Van Gunst,GS,6'0,"Fayetteville, Ga",Georgia State
3,Ashley McGinn,Jr,5'9,"Sewell, NJ",Georgia State
4,Ashley Bauchert,Fr,5'9,"Allen, Tx",Georgia State
5,Brooke Weiner,Jr,5'11,"Ventura, Ca",Georgia State
6,Eden Hawes,Fr,5'8,"Panama City Beach, Fl",Georgia State
7,Georgia Johnson,So,5'11,"Brisbane, Queensland",Georgia State
8,Jessie Swaney,Sr,5'7,"McDonough, Ga",Georgia State
9,Kate Novack,So,5'9,"Fort Wayne, Ind",Georgia State
10,Maddie Gordon,So,6'0,"Fort Worth, Tx",Georgia State
11,Mattie Johnson,Fr,5'7,"Tabor City, NC",Georgia State
12,Meagan McCall,Fr,5'7,"Phoenix, Az",Georgia State
13,Olivia Stasevich,So,5'8,"Canton, Ga",Georgia State
14,Rebekah Brodbeck,Fr,5'9,"San Antonio, Tx",Georgia State
15,Teegan Van Gunst,GS,6'0,"Fayetteville, Ga",Georgia State
16,Tiffany Creamer,GS,6'2,"Newnan, Ga",Georgia State
0,Abigail Moss,So,5'10,"Kennesaw, Ga",Mercer
1,Amber Gibson,So,5'9,"Cypress, Tx",Mercer
2,Danielle Faust,Jr,5'11,"Reading, Pa",Mercer
3,Elli Merchant,Fr,6'0,"Bedford, Tx",Mercer
4,Elli Gibson,Fr,5'4,"Cincinnati, Oh",Mercer
5,Emilee Wissmach,Fr,,"Savannah, Ga",Mercer
6,Gracie Garanich,Fr,5'10,"Maineville, Oh",Mercer
7,Jessica Johnson,Sr,5'10,"Oswego, Ill",Mercer
8,Kacy Ogden,Fr,5'9,"Alva, Fl",Mercer
9,Kylie Keeling,Fr,5'5,"Fresco, Tx",Mercer
10,Lela Mcintosh,Sr,5'8,"Austin, Tx",Mercer
11,Madison Kerr,Sr,5'8,"Atlanta, Ga",Mercer
12,Marina Chavez,Sr,6'0,"Guatemala City, Guatemala",Mercer
13,Sarah Stewart,Fr,,"Savannah, Ga",Mercer
14,Sophie Peel,Sr,5'10,"Portland, Ore",Mercer
0,Abbie Harry,So,6'0,"Frederick, Md",Central Arkansas
1,Aly Brinkley,Fr,5'10,"Conway, Ar",Central Arkansas
2,Brittany Whiting,Fr,5'6,"Austin, Tx",Central Arkansas
3,Colene Hamilton,Fr,5'8,"Columbia,Ill",Central Arkansas
4,Delaney Driver,GS,5'9,"Wichita Falls, Tx",Central Arkansas
5,Hayley Tippett,Jr,6'0,"Roanoke, Tx",Central Arkansas
6,Jessica Martinez,Jr,5'7,"Parker, Co",Central Arkansas
7,Kelsey Sager,Fr,5'10,"Wichita Falls, Tx",Central Arkansas
8,Kimberly Schnars,Jr,5'8,"Downey, Ca",Central Arkansas
9,Kristine Hjembo,Jr,5'11,"Aalesund, Norway",Central Arkansas
10,Mackenzie  Dear,So,5'8,"Conway, Ark",Central Arkansas
11,MC Rogers,Sr,6'2,"Collierville, Tn",Central Arkansas
12,Megan Nash,Jr,6'0,"Oakville, Canada",Central Arkansas
13,Shelby Holmes,GS,6'0,"Lawrence, Tx",Central Arkansas
14,Stephanie Pollnow,Sr,6'0,"Beebe, Ark",Central Arkansas
0,Ali Svorinic,Sr,5'7,"Scottsdale, Az",Colorado Mesa
1,Ara Norwood,Fr,5'6,"Ridgway, Co",Colorado Mesa
2,Ashton Reese,Fr,6'1,"Eaton, Co",Colorado Mesa
3,Hailey Crane,So,6'0,"Bothell, Wash",Colorado Mesa
4,Hana Peterman,Jr,5'9,"Tucson, Az",Colorado Mesa
5,Julia Baskin,So,6'0,"Arvada, Co",Colorado Mesa
6,Kasie Gilfert,R-Fr,6'0,"Aurora, Co",Colorado Mesa
7,Katie Scherr,So,6'0,"Bismarck, N.D.",Colorado Mesa
8,Lindy Dixon,So,5'9,"Eaton, Co",Colorado Mesa
9,Megan Gianinetti,Sr,6'0,"Carbondale, Co",Colorado Mesa
10,Natalee Todd,Jr,5'9,"Bismarck, N.D.",Colorado Mesa
11,Rachael Perrine,Fr,5'11,"Aurora, Co",Colorado Mesa
12,Samantha Ritter,So,5'10,"Tinley Park, Ill",Colorado Mesa
13,Taylor Woods,Jr,5'4,"Glendale, Az",Colorado Mesa
0,Bethany Salapek,Fr,5'3,"Raleigh, NC",Jacksonville
1,Cristina Finan,Sr,5'9,"Weston, Fl",Jacksonville
2,Forfeit  1,,,,Jacksonville
3,Forfeit  2,,,,Jacksonville
4,Hannah Marchand,Fr,5'11,"Sturgis, Mi",Jacksonville
5,Katie Krawczyk,Jr,5'8,"Ovledo, Fl",Jacksonville
6,Kendall Murr,Fr,5'9,"Yorktown, In",Jacksonville
7,Lauren Petersen,Jr,5'11,"Liberty, Mo",Jacksonville
8,Mackenzie Swan,Sr,5'10,"Colorado Springs, Co",Jacksonville
9,Madison  Rayam,Fr,5'10,"Alabaster, Al",Jacksonville
10,Mallory Mattingly,So,"5'10""","Sanford, Fla. / Seminole",Jacksonville
11,Morgan Dees,So,5'7,"Marietta, Ga",Jacksonville
12,Olga Nushtayeva,Sr,5'11,"Palm Coast, Fl",Jacksonville
13,Savannah Siegrist,Fr,5'9,"Davidsonville, Md",Jacksonville
14,Shaylee Befus,,5'7,"Brighton, Co",Jacksonville
15,Shelby Babowicz,Sr,5'8,"Hollywood, Fl",Jacksonville
16,Tori Reiser,So,5'7,"Weston, Fl",Jacksonville
17,Vanessa Richards,So,5'8,"Marietta, Ga",Jacksonville
0,Blaire Register,,,,UNF
1,Britney Krueger,So,5'8,"Fort Walton Beach, Fl",UNF
2,Brittany Pase,R-Jr,5'9,"Crestview, Fl",UNF
3,Callie Workman,Fr,5'7,"Tallahassee, Fl",UNF
4,Carina Hoff,R-Sr,6'2,"Eustis, Fl",UNF
5,Carolyn Cain,Fr,5'9,"Purcellville, Va",UNF
6,Casey Justice,Fr,5'8,"Panama City Beach, Fl",UNF
7,Chaney Howard,Jr,5'7,"St. Cloud, Fl",UNF
8,Courtney Miller,R-Jr,5'10,"Waxahachie, Tx",UNF
9,Gabby O'Connell,So,6'0,"Gainesville, Fl",UNF
10,Leah Maloney,So,6'0,"Cincinnati, Oh",UNF
11,Madilyn McCarty,So,6'0,"Springfield, Ill",UNF
12,Mallory Waggoner,GS,6'0,"Sarasota, Fl",UNF
13,Marissa Rogers,Fr,5'7,"Crestview, Fl",UNF
14,Nicole DeBolt,Jr,5'7,"Ocala, Fl",UNF
15,Sadie Thurston,Sr,5'11,"Ponte Vedra, Fl",UNF
16,Taryn Griffey,So,6'1,"Wildwood, Mo",UNF
0,Alex Kells,Fr,6'0,"Burlington, Ontario, Canada",UAB
1,Alyssa Kirkman,Jr,5'11,"Naperville, Ill",UAB
2,Annie Pringle,R-So,5'11,"Victoria, BC, Canada",UAB
3,Avei Logoleo,Sr,5'9,"Nashville, Tn",UAB
4,Avery Hoven,R-Sr,5'11,"Hoover, Al",UAB
5,Bethany Whitenton,Fr,5'9,"Gainesville, Ga",UAB
6,Brittney Munro,So,6'4,"Cypress, Tx",UAB
7,Devon May,GS,5'9,"Roberts Creek, BC, Canada",UAB
8,Emily Martinez,Jr,5'8,"San Antonio, Tx",UAB
9,Erin Bognar,GS,6'2,"St Louis, Mo",UAB
10,Gabbi Moreno,Sr,5'10,"Houston, Tx",UAB
11,Haley Jared,Sr,5'11,"Hartselle, Al",UAB
12,Kaylee McClure,Fr,5'6,"Kennesaw, Ga",UAB
13,Kenley Adams,So,6'0,"Panama City, Fl",UAB
14,Morgan Smith,So,5'7,"Cincinnati, Oh",UAB
15,Rachel Evans,Jr,5'8,"St. Petersburg, Fl",UAB
16,Sallianne Napolitano,Fr,,"Bordentown Township, N.J.",UAB
17,Tressa Buckland,Jr,5'10,"Park City, Ut",UAB
0,Alanya Ryan,Fr,5'11,"Fort Myers, Fl",FGCU
1,Amanda Carroll,Jr,5'10,"Albuquerque, NM",FGCU
2,Ashley Glickert,Sr,5'10,"Chesterfield, Mo",FGCU
3,Courtney VanLiew,Fr,5'11,"Seymour, In",FGCU
4,Giovanna Borgiotti,So,5'10,"Vienna, Va",FGCU
5,Kaitlan Krivdo,Jr,6'0,"Hope Mills, NC",FGCU
6,Karissa Rhoades,Jr,5'11,"Valrico, Fl",FGCU
7,Katherine Puisis,Jr,5'11,"Mason, Oh",FGCU
8,Kayla Whetstone,Fr,5'8,"Arlington, Tx",FGCU
9,Kellie Pernula,Jr,5'7,"Plant City, Fl",FGCU
10,Mackenzie Allen,Sr,5'10,"Naples, Fl",FGCU
11,Snowy Burnam,Fr,5'11,"Palm City, Fl",FGCU
0,Ashley Clingan,Jr,5'5,"Jacksonville, Al",Jacksonville State
1,Bethany Randall,Fr,5'10,"Seffner, Fl",Jacksonville State
2,Charis Ludtke,Sr,5'11,"Hamburg, Germany",Jacksonville State
3,Grace Jarnagin,Fr,5'9,"Mill Creek, Wa",Jacksonville State
4,Hailey Hughes,So,5'8,"Bloomfield Hills, Mi",Jacksonville State
5,Hannah Kirk,Sr,5'3,"Katy, Tx",Jacksonville State
6,Katie Will,Jr,5'6,"Clearwater, Fl",Jacksonville State
7,Kayla Frear,So,6'3,"Colorado Springs, Co",Jacksonville State
8,Kaylie Milton,Fr,5'11,"Fullerton, Ca",Jacksonville State
9,Kim Krutsinger,R-So,6'2,"Colorado Springs, Co",Jacksonville State
10,Mackenzie Rombach,Jr,6'1,"Ottawa, Ill",Jacksonville State
11,Maddie Cloutier,So,5'6,"Brighton, Co",Jacksonville State
