,Name,Year,Height,Hometown/HS,Team,mu,sigma
143,Jessica Gaffney,Sr,6'1,"Temecula, Ca",Cal,29.5763621322,2.77998607727
144,Karina Langli,Jr,5'10,"Encinitas, Ca",Cal,25.0,8.33333333333
145,Mackenzie Feldman,Sr,5'6,"Honolulu, Hi",Cal,25.0,8.33333333333
146,Maddie Micheletti,Fr,5'9,"Manhattan Beach, Ca",Cal,34.9151258093,3.3835439957
147,Madison Dueck,So,5'9,"Santa Cruz, Ca",Cal,27.8295998834,2.68075607116
148,Mia Merino,Jr,5'7,"Tustin, Ca",Cal,29.6082711557,2.89788775999
149,Mima Mirkovic,Fr,5'11,"Irvine, Ca",Cal,30.9404166747,2.88729413927
150,Olivia Rodberg,Jr,5'9,"Manhattan Beach, Ca",Cal,25.0,8.33333333333
151,Teya Neff,Sr,6'0,"Novato, Ca",Cal,25.0,8.33333333333
152,Adore Anae,Sr,6'1,"Laei, Hi",Utah,31.5802060559,3.67229727076
153,Alexa Van Komen,Fr,5'8,"El Dorado Hills, Ca",Utah,24.7063620703,5.60265609576
154,Bailey Choy,So,5'9,"Honolulu, Hi",Utah,21.857714254,3.68825222982
155,Berkeley Oblad,Jr,6'4,"Henderson, Nv",Utah,24.2526225466,3.87532913261
156,Brianna Doehrmann,So,5'7,"Murrieta, Ca",Utah,15.7091691156,4.5347162024
157,Camryn  Machado,Fr,5'9,"Cardiff by the Sea, Ca",Utah,25.0,8.33333333333
158,Carly Trueman,Sr,6'1,"Tucson, Az",Utah,25.0,8.33333333333
159,Dani Barton,So,6'0,"Sandy, Ut",Utah,31.5802060559,3.67229727076
160,Eliza Katoa,Sr,5'10,"Layton, Ut",Utah,25.0,8.33333333333
161,Emily Twohig,Jr,5'9,"Boise, Id",Utah,25.0,8.33333333333
162,Kenzie Koerber,Fr,6'3,"Chino Hills, Ca",Utah,20.231038334,4.13331964971
163,Laura Gauta,Fr,5'11,"Garden Grove, Ca",Utah,24.83752238,4.13962226999
164,Lauren Sproule,So,6'0,"Lethbridge, Ca",Utah,25.1955817877,4.94030674722
165,Megan Boudreaux,Jr,6'2,"South Jordan, Ut",Utah,25.0,8.33333333333
166,Melissa Powell,,,,Utah,26.2266450434,3.75726373474
167,Phoebe  Grace,Fr,6'2,"Laie, Hawai'i",Utah,23.5276877902,7.65596680771
168,Shannon  Scully,Fr,6'2,"Huntington Beach, Ca",Utah,25.0,8.33333333333
169,Tawnee Luafalemana,Sr,6'0,"Carson, Ca",Utah,21.6219389861,3.84589771658
170,Torre Glasker,So,5'10,"South Jordan, Ut",Utah,25.0,8.33333333333
171,Ashley Allmer,Jr,5'10,"Sarasota, Fl",LSU,34.9423619214,5.36958539735
172,Cheyenne Wood,Sr,5'7,"Angier, N.C.",LSU,25.0,8.33333333333
173,Claire Coppola,So,6'1,"Scottsdale, Az",LSU,35.4547582149,2.55136589158
174,Emily Hardesty,GS,6'3,"Plano, Tx",LSU,27.9529398498,5.61911572787
175,Emmy Allen,GS,6'1,"Mill Creek, Wa",LSU,31.6490038896,2.50898981854
176,Gina Tillis,Sr,5'10,"Rockwall, Tx",LSU,23.4211217525,4.02484160561
177,Haleigh Nelson,GS,6'4,"Cary, N.C.",LSU,23.2400515747,2.57693140038
178,Hunter Domanski,Fr,5'10,"New Braunfels, Tx",LSU,29.4502902168,2.44649879168
179,Jeni Clark,Jr,5'7,"Carlsbad, Ca",LSU,25.0,8.33333333333
180,Kahlee York,Fr,5'11,"Bradenton, Fl",LSU,28.9070455748,7.31319393007
181,Kristen Nuss,So,5'6,"New Orleans, La",LSU,35.4547582149,2.55136589158
182,Lilly Kessler,Jr,5'10,"Augusta, Ga",LSU,32.6408338491,6.73374684045
183,Maddie Ligon,Jr,5'8,"Bedford, Tx",LSU,34.2683200343,2.56608829213
184,Mandi Orellana,Sr,5'7,"Guatemala City, Guatemala",LSU,29.1120668624,3.18225276656
185,Megan Davenport,Jr,5'11,"Metairie, La",LSU,32.8098561024,2.54444542085
186,Nicole Decker,Fr,5'10,"Coral Springs, Fl",LSU,29.2439518317,7.53587594292
187,Olivia Powers,So,6'1,"Merrit Island, Fl",LSU,30.097006252,2.40577678668
188,Riley Young,Sr,6'1,"La Jolla, Ca",LSU,30.7915068094,2.68423195154
