,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
796,1,Braxton Jessie,Janessa Simental,Malia Carr,Shaianne Palos,Ventura College,Mt San Antonio College,796,20180221
796,2,Armonee Hunter,Kasie Spencer,Sierra Lujan,Jordon Wilson,Ventura College,Mt San Antonio College,796,20180221
796,3,Taylor Benitez-Fanslow,Shea McKeown,Lauren Quinonez,Alysha Tullar,Ventura College,Mt San Antonio College,796,20180221
796,4,Sofia Gomez,Jordan Neria,Lindsey Lane,Brianda Valdez,Ventura College,Mt San Antonio College,796,20180221
796,5,Carina Cates,Danielle Garcia,Kierra Coatney,Natalya Fajardo,Ventura College,Mt San Antonio College,796,20180221
797,1,Braxton Jessie,Janessa Simental,Andrea  Velasco,Madison Mader,Rio Hondo College ,Ventura College,797,20180216
797,2,Armonee Hunter,Kasie Spencer,Sara  Harding,Michelle Rosas,Ventura College,Rio Hondo College ,797,20180216
797,3,Taylor Benitez-Fanslow,Shea McKeown,Michell Chavez-Valdivia,Felipa Moreno,Rio Hondo College ,Ventura College,797,20180216
797,4,Sofia Gomez,Jordan Neria,Bree Newton,Michelle Hawkins,Ventura College,Rio Hondo College ,797,20180216
797,5,Carina Cates,Danielle Garcia,Madelyn Gastelum,Stephanie Garcia,Ventura College,Rio Hondo College ,797,20180216
798,1,Felicia Marshall,Khalia Jordan,Braxton Jessie,Janessa Simental,Grossmont College,Ventura College,798,20180216
798,2,Christina Barrameda,Aofiaolela Faa'agi,Armonee Hunter,Kasie Spencer,Grossmont College,Ventura College,798,20180216
798,3,Desiree Elizondo,Makayla Tam,Taylor Benitez-Fanslow,Shea McKeown,Grossmont College,Ventura College,798,20180216
798,4,Maiya Lopez,Ashlee Goycoochea,Sofia Gomez,Jordan Neria,Grossmont College,Ventura College,798,20180216
798,5,Julia Holden,Talia  Young,Carina Cates,Danielle Garcia,Grossmont College,Ventura College,798,20180216
799,1,Carly Perales,Sunniva Helland-Hansen,Mackenzie Redner,Savanna Cary,Stetson,Eckerd ,799,20180223
799,2,Darby Dunn,Sammee Thomas,Paula Hoffman,Kaitlyn Sibson,Stetson,Eckerd ,799,20180223
799,3,Rebecca Ingram,Quinci Birker,Madison  Whiting,Arielle Erillo,Stetson,Eckerd ,799,20180223
799,4,Rachel Noble,Samantha Harris,Rachel Cornatzer,Stephanie Bogda,Stetson,Eckerd ,799,20180223
799,5,Alexa Richardson,Katinka Krahn,Kali Boatwright,Jordan Duffy,Stetson,Eckerd ,799,20180223
800,1,Shannon Williams,Ali Denney,Tiffany Creamer,Brooke Weiner,South Carolina,Georgia State,800,20180223
800,2,Lydia Dimke,Katie Smith,Ashley McGinn,Allie Elson,South Carolina,Georgia State,800,20180223
800,3,Julia Mannisto,Carly Schneider,Georgia Johnson,Eden Hawes,South Carolina,Georgia State,800,20180223
800,4,Leah Perri,Macie Tendrich,Kate Novack,Rebekah Brodbeck,South Carolina,Georgia State,800,20180223
800,5,Franky Harrison,Hannah Edelman,Amie  Held,Maddie Gordon,South Carolina,Georgia State,800,20180223
801,1,Macy Jerger,Victoria Paranagua,Jessalyn Kinlaw,Gabrielle Dischler,Florida State,FAU,801,20180223
801,2,Brooke Kuhlman,Vanessa Freire,Carly Scarborough,Brittany Pellitteri,Florida State,FAU,801,20180223
801,3,Francesca Goncalves,Sara Putt,Nicole Navarro,Nicole Grant,Florida State,FAU,801,20180223
801,4,Hailey Luke,Katie Horton,Mackenzie Morris,Erica Brok,Florida State,FAU,801,20180223
801,5,Molly McBain,Eva Torruella,Kaila Dorish,Ashlan  Cunningham,Florida State,FAU,801,20180223
802,1,Tiffany Creamer,Brooke Weiner,Carly Perales,Sunniva Helland-Hansen,Stetson,Georgia State,802,20180223
802,2,Ashley McGinn,Allie Elson,Sammee Thomas,Darby Dunn,Stetson,Georgia State,802,20180223
802,3,Olivia Stasevich,Georgia Johnson,Quinci Birker,Rebecca Ingram,Georgia State,Stetson,802,20180223
802,4,Eden Hawes,Ashley Bauchert,Samantha Harris,Rachel Noble,Georgia State,Stetson,802,20180223
802,5,Kate Novack,Amie  Held,Alexa Richardson,Katinka Krahn,Georgia State,Stetson,802,20180223
803,1,Macy Jerger,Victoria Paranagua,Shannon Williams,Ali Denney,Florida State,South Carolina,803,20180223
803,2,Vanessa Freire,Brooke Kuhlman,Carly Schneider,Katie Smith,South Carolina,Florida State,803,20180223
803,3,Sara Putt,Francesca Goncalves,Leah Perri,Macie Tendrich,Florida State,South Carolina,803,20180223
803,4,Katie Horton,Hailey Luke,Julia Mannisto,Jess Vastine,Florida State,South Carolina,803,20180223
803,5,Molly McBain,Eva Torruella,Franky Harrison,Hannah Sorensen,Florida State,South Carolina,803,20180223
804,1,Gabrielle Dischler,Jessalyn Kinlaw,Savanna Cary,Mackenzie Redner,FAU,Eckerd ,804,20180223
804,2,Carly Scarborough,Brittany Pellitteri,Arielle Erillo,Madison  Whiting,Eckerd ,FAU,804,20180223
804,3,Nicole Navarro,Nicole Grant,Kaitlyn Sibson,Paula Hoffman,Eckerd ,FAU,804,20180223
804,4,Erica Brok,Mackenzie Morris,Stephanie Bogda,Rachel Cornatzer,FAU,Eckerd ,804,20180223
804,5,Ashlan  Cunningham,Kaila Dorish,Abigail O'Ferrell,Jordan Duffy,FAU,Eckerd ,804,20180223
805,1,Lauren Stivrins,Jazz Sweat,Jackie Woods,Kat McCullough,Nebraska,Benedictine,805,20180223
805,2,Kelly Hunter,Annika Albrecht,Caitlan Sammons,Sydney Nelson,Nebraska,Benedictine,805,20180223
805,3,Kenzie Maloney,Sami Slaughter,Megan Block,Dani Burke,Nebraska,Benedictine,805,20180223
805,4,Allie Havers,Jasmine Schmidt,Anokina Mirzapour,Kassandra Renteria,Nebraska,Benedictine,805,20180223
805,5,Hayley Densberger,Anezka Szabo,Hayden Boucher,Madison Peters,Benedictine,Nebraska,805,20180223
806,1,Michelle Rosas,Sara  Harding,Mikelle Taylor,Viridiana Serrano,Santa Ana College,Rio Hondo College ,806,20180223
806,2,Michell Chavez-Valdivia,Madison Mader,Iliana Mendoza,Britany Tran,Rio Hondo College ,Santa Ana College,806,20180223
806,3,Felipa Moreno,Stephanie Garcia,Destinee Blue,Hannah Degrasse,Rio Hondo College ,Santa Ana College,806,20180223
806,4,Bree Newton,Michelle Hawkins,Kassandra Murillo,Karissa Mumford,Rio Hondo College ,Santa Ana College,806,20180223
806,5,Mia  Ponce,Monica  Campos,Stephanie Huerta,Lily Reissmueller,Santa Ana College,Rio Hondo College ,806,20180223
807,1,Viridiana Serrano,Mikelle Taylor,Chelsea Bostwick,Megan Yoon,Santa Ana College,Santa Monica College,807,20180223
807,2,Iliana Mendoza,Britany Tran,Camyrne Sommaripa,Kelsi Pich,Santa Ana College,Santa Monica College,807,20180223
807,3,Destinee Blue,Hannah Degrasse,Ada Nadzakova,Taylor Burke,Santa Ana College,Santa Monica College,807,20180223
807,4,Karissa Mumford,Kassandra Murillo,Paula  Hicks,Morgan Tarpley,Santa Ana College,Santa Monica College,807,20180223
807,5,Lily Reissmueller,Stephanie Huerta,Althea Roble,Anna Engel,Santa Ana College,Santa Monica College,807,20180223
808,1,Sara  Harding,Michelle Rosas,Chelsea Bostwick,Megan Yoon,Santa Monica College,Rio Hondo College ,808,20180223
808,2,Michell Chavez-Valdivia,Madison Mader,Camyrne Sommaripa,Kelsi Pich,Rio Hondo College ,Santa Monica College,808,20180223
808,3,Stephanie Garcia,Felipa Moreno,Ada Nadzakova,Taylor Burke,Santa Monica College,Rio Hondo College ,808,20180223
808,4,Bree Newton,Michelle Hawkins,Morgan Tarpley,Paula  Hicks,Rio Hondo College ,Santa Monica College,808,20180223
808,5,Monica  Campos,Mia  Ponce,Althea Roble,Anna Engel,Rio Hondo College ,Santa Monica College,808,20180223
809,1,Lauren Schaefer,Catherine Serna,Kianna Nui,Noemi Ramos,Fullerton College,Palomar College,809,20180223
809,2,Prescilla Gutierrez,Kailyn Case,Mikayla Seiler,Phebe Li,Palomar College,Fullerton College,809,20180223
809,3,Carlie Ortega,Andrea Lopez,Samantha Ranebaugh,Sara  Mitchell,Palomar College,Fullerton College,809,20180223
809,4,Samaria Longstreet,Kristine Perez,Mary Lozano,Christina Garcia,Fullerton College,Palomar College,809,20180223
809,5,Kendall Campos,Ashley Pruitt,Forfeit 1,Forfeit 2,Fullerton College,Palomar College,809,20180223
810,1,Jewel Yandall,Sophia Loiola,Lauren Schaefer,Catherine Serna,El Camino College,Fullerton College,810,20180223
810,2,Phina Leilua,Aiko Waters,Prescilla Gutierrez,Kailyn Case,El Camino College,Fullerton College,810,20180223
810,3,Sarah  Dyer,Jaylin Motley,Carlie Ortega,Andrea Lopez,El Camino College,Fullerton College,810,20180223
