,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
101,3,Casey Justice,Madilyn McCarty,Molly Fusarelli,Salla Rautiainen,UNF,Webber,833,20180224
102,4,Carolyn Cain,Blaire Register,Teryn Mills,Jessica Terry,UNF,Webber,833,20180224
103,5,Marissa Rogers,Nicole DeBolt,Kaxandra Naranjo,Laura Embry,UNF,Webber,833,20180224
104,1,Chaney Howard,Taryn Griffey,Melissa Elias,Sorrel  Houghton,UNF,Tampa,834,20180224
105,2,Courtney Miller,Brittany Pase,Nicole Dominguez,Katie McKiel,UNF,Tampa,834,20180224
106,3,Casey Justice,Madilyn McCarty,Gabbi Pacatte,Leigh Buttner,UNF,Tampa,834,20180224
107,5,Blaire Register,Carolyn Cain,Marisa Beisner,Nylah Demps,UNF,Tampa,834,20180224
108,1,Payton Rund,Morgan Hughes,Iya Lindahl,Jessica Gaffney,Saint Mary's,Cal,835,20180224
109,2,Lindsey Knudsen,Emily Bible,Bryce Bark,Madison Dueck,Saint Mary's,Cal,835,20180224
110,3,Sarah Chase,Mary Hernandez,Mima Mirkovic,Alexia Inman,Cal,Saint Mary's,835,20180224
111,4,Lindsey Calvin,Kelsey Knudsen,Caroline Schafer,Maddie Micheletti,Saint Mary's,Cal,835,20180224
112,5,Sienna Young,Madi Wilkerson,Mia Merino,Grace Campbell,Cal,Saint Mary's,835,20180224
113,1,Iya Lindahl,Jessica Gaffney,Andie Shelton,Maycie LaBass,Cal,Pacific,836,20180224
114,2,Bryce Bark,Madison Dueck,Roni Long,Skylar Wine,Cal,Pacific,836,20180224
115,3,Mima Mirkovic,Alexia Inman,Taylor Poncetta,Hanne De Schrijver,Cal,Pacific,836,20180224
116,4,Maddie Micheletti,Caroline Schafer,Ashlyn Fleming,Kaitlyn Lines,Cal,Pacific,836,20180224
117,5,Grace Campbell,Mia Merino,Katrin Gotterba,Alex Holt,Pacific,Cal,836,20180224
118,1,Carly Kan,Laurel Weaver,Kathryn Plummer,Sunny Villapando,Hawaii,Stanford,837,20180224
119,2,Ka'iwi Schucht,Emily Maglio,Morgan Hentz,Amelia Smith,Hawaii,Stanford,837,20180224
120,3,Morgan Martin,Lea Monkhouse,Payton Chang,Catherine Raquel,Hawaii,Stanford,837,20180224
121,4,Amy Ozee,Ari Homayun,Kate Formico,Courtney Bowen,Stanford,Hawaii,837,20180224
122,5,Paige Dreeuws,Hannah Zalopany,Kat Anderson,Caitlin Keefe,Hawaii,Stanford,837,20180224
123,1,Federica Frasca,Margherita Bianchin,Gabby Love,Maile Sellers,FIU,ULM,838,20180224
124,2,Anabela Sataric,Dorina Klinger,Grace Convey,Kayla Gallant,FIU,ULM,838,20180224
125,3,Erika Zembyla,Lina Bernier,Catherine Griffith,Rebecca Brown,ULM,FIU,838,20180224
126,4,Natalia Giron,Estefanie  Bethancourt,Allie Kemp,Bailey Smith,FIU,ULM,838,20180224
127,5,Erin Byrne,Mariana De Paula Silva,McKenna Webster,Holland Ponthieux,FIU,ULM,838,20180224
128,1,Tia Miric,Torrey Van Winden,Kenzie Maloney,Lauren Stivrins,Cal Poly SLO,Nebraska,839,20180224
129,2,Sam Manley,Emily Sonny,Kelly Hunter,Annika Albrecht,Cal Poly SLO,Nebraska,839,20180224
130,3,Raeann Greisen,Hannah Hubbard,Sami Slaughter,Jazz Sweat,Cal Poly SLO,Nebraska,839,20180224
131,4,Adlee Van Winden,Brayden Gruenewald,Chesney McClellan,Hayley Densberger,Cal Poly SLO,Nebraska,839,20180224
132,5,Macy Gordon,Heather Pembroke,Allie Havers,Jasmine Schmidt,Cal Poly SLO,Nebraska,839,20180224
133,1,Abril Bustamante,Terese Cannon,Katie Pyles,Molly Turner,USC,Grand Canyon,840,20180224
134,2,Haley Hallgren,Sammy Slater,Jessica Stansfield,Hannah Towne,USC,Grand Canyon,840,20180224
135,3,Joy Dennis,Brianna Sizemore,Bella Baumann,Taylor Jarzombek,Grand Canyon,USC,840,20180224
136,4,Jenna Belton,Jo Kremer,Emily Reinking,Jamie  Walsh,USC,Grand Canyon,840,20180224
137,5,Maja Kaiser,Katrina Kernochan,Jessica Clark,Madi Relaz,Grand Canyon,USC,840,20180224
138,1,Jessica Wooten,Aeriel Horton,Gabby Love,Maile Sellers,Houston Baptist,ULM,841,20180224
139,2,Kayla Armer,Tori Hinojosa,Grace Convey,Kayla Gallant,Houston Baptist,ULM,841,20180224
140,3,Bailey Banks,Katya Silveira,Catherine Griffith,Rebecca Brown,ULM,Houston Baptist,841,20180224
141,4,Danielle Wheeler,Brennan Miller,Bailey Smith,Allie Kemp,Houston Baptist,ULM,841,20180224
142,5,Meagan Carter,Kali Fluke,Holland Ponthieux,McKenna Webster,Houston Baptist,ULM,841,20180224
143,1,Sophie Peel,Kacy Ogden,Emily Fedonczak,Nichole LeFevre,Mercer,Huntingdon,842,20180224
144,2,Elli Gibson,Jessica Johnson,Bria Rochelle,Alexis Creasman,Mercer,Huntingdon,842,20180224
145,3,Amber Gibson,Gracie Garanich,Amy Tyma,Cheyenne Scarborough,Mercer,Huntingdon,842,20180224
146,4,Lela Mcintosh,Marina Chavez,Lexie DeVuyst,Shelby McAllister,Mercer,Huntingdon,842,20180224
147,5,Kylie Keeling,Emilee Wissmach,Kaitlyn Carter,Addison Genard,Mercer,Huntingdon,842,20180224
148,1,Abril Bustamante,Terese Cannon,Kwyn Johnson,Mia Rivera,USC,ASU,843,20180224
149,2,Haley Hallgren,Sammy Slater,Halle Parker,Kara  Woodard,USC,ASU,843,20180224
150,3,Joy Dennis,Brianna Sizemore,Katelyn Carballo,Ellyson Lundberg,ASU,USC,843,20180224
151,4,Jenna Belton,Jo Kremer,Katie Cross,Cierra Flood,USC,ASU,843,20180224
152,5,Alexandra Poletto,Peri Green,Kate  Baldwin,Samantha Plaster,ASU,USC,843,20180224
153,1,Laurel Weaver,Carly Kan,Nicole McNamara,Megan McNamara,Hawaii,UCLA,844,20180224
154,2,Emily Maglio,Ka'iwi Schucht,Lily Justine,Sarah Sponcil ,Hawaii,UCLA,844,20180224
155,3,Morgan Martin,Lea Monkhouse,Elise Zappia,Madi Yeomans,Hawaii,UCLA,844,20180224
156,4,Ari Homayun,Amy Ozee,Izzy Carey,Megan Muret,Hawaii,UCLA,844,20180224
157,5,Hannah Zalopany,Paige Dreeuws,Savvy Simo,Chanti Holroyd,Hawaii,UCLA,844,20180224
158,1,Kat McCullough,Jackie Woods,Jacey Smith,Kendall Bosse,Abilene Christian,Benedictine,845,20180224
159,2,Caitlan Sammons,Sydney Nelson,Brooke Riley,Lauren Walker,Abilene Christian,Benedictine,845,20180224
160,1,Natalie Anselmo,Olivia Macdonald,Jackie Woods,Kat McCullough,Arizona,Benedictine,846,20180224
161,2,Olivia Hallaran,Kacey Nady,Caitlan Sammons,Sydney Nelson,Arizona,Benedictine,846,20180224
162,3,Candice Denny,Brooke Burling,Megan Block,Dani Burke,Arizona,Benedictine,846,20180224
163,4,Mia Mason,Jonny Baham,Anokina Mirzapour,Kassandra Renteria,Arizona,Benedictine,846,20180224
164,5,Makenna Martin,Caroline Cordes,Madison Peters,Hayden Boucher,Arizona,Benedictine,846,20180224
165,1,Nandyala Gama,Lyndi Scholl,Jacey Smith,Kendall Bosse,Abilene Christian,San Jose State University,847,20180224
166,2,Ciara Reistad,Julia Golbeck,Brooke Riley,Lauren Walker,San Jose State University,Abilene Christian,847,20180224
167,3,Jamie Hirai,Hayley Sturgeon,Katelyn Mueller,Lexie Rawls,San Jose State University,Abilene Christian,847,20180224
168,4,Thaliana Grajeda,Luiza Andrade,Amy Weiss,Makenzie Kesler,San Jose State University,Abilene Christian,847,20180224
169,5,Summer Avery,Breann Robinson,Paris Cosley,Peyton Boutwell,San Jose State University,Abilene Christian,847,20180224
