,division,college,first_name,last_name,mu,sigma
128,DI,FAU,Ashlan,Cunningham,20.65024299757416,5.990754640557419
129,DI,FIU,Mariana,Dal Pozzo,30.950476479444234,3.295617835399681
130,DI,USF,Anna,Dalla Vecchia,30.214508788221753,4.401743792814792
131,DI,Austin Peay State,Claire,Darland,20.639310287682964,5.7642603945663415
132,DI,Texas A&M Corpus Christi,Maya,Daukas,22.760731119177787,5.390768370757449
133,DI,LSU,Megan,Davenport,34.040264987378116,2.5718956421244683
134,DI,South Carolina,Avery,Davis,26.629773852620303,6.150735885796863
135,DI,"Cal State University, Sacramento",Sarah,Davis,29.027612657319477,4.239134274327872
136,DI,Cal State Northridge,Shawnee,De Oliveira,24.438265187245182,7.172919297635683
137,DI,FIU,Mariana,De Paula Silva,33.8232542882829,6.504241001709387
138,DI,Pacific,Hanne,De Schrijver,27.506763972964414,3.7808875240339628
139,DI,UNF,Nicole,DeBolt,29.857665354330233,3.4176761982578716
140,DI,Central Arkansas,Mackenzie,Dear,25.329464441596354,4.871372875269987
141,DI,LSU,Nicole,Decker,27.569876843751615,7.782314134192316
142,DI,Jacksonville,Morgan,Dees,31.892224185092182,4.163275962806965
143,DI,Cal State Bakersfield,Mattison,Degarmo,23.645219282548393,3.461593915632719
144,DI,Washington,Carly,Dehoog,38.94976888877875,3.0139446097791858
145,DI,Tulane,Ashley,Delgado,30.856824166611265,2.7067886553155427
146,DI,Missouri State,Sarah,Demmer,14.491452847536964,5.184901192548765
147,DI,South Carolina,Ali,Denney,42.93280656393912,3.047557338650814
148,DI,USC,Joy,Dennis,31.317032677840935,2.5525616972333967
149,DI,Arizona,Candice,Denny,31.24415304964122,7.245030080493648
150,DI,Nebraska,Hayley,Densberger,15.04397377393107,5.727703990181169
151,DI,Texas A&M Corpus Christi,Abigail,Devido,34.424668362171374,4.497737274994852
152,DI,Arizona,Hailey,Devlin,34.21486244232857,2.9881245273172827
153,DI,Pepperdine,Maddie,Dilfer,30.71120380382164,3.185703849499341
154,DI,South Carolina,Lydia,Dimke,27.535051752104923,5.3696740385503485
155,DI,FAU,Gabrielle,Dischler,35.79778832413023,3.016687845196901
156,DI,Cal State Bakersfield,Aleksandra,Djordjevic,26.60176964221236,3.68139943282326
157,DI,Coastal Carolina,Aleksandra,Djuric,30.13082654149516,4.290694842523945
158,DI,Abilene Christian,Eighmy,Dobbins,22.373325454449116,5.439536730790262
