division,compID,location,date,college,first_name,last_name,position,result,score
DI,804," Deland, Fl ",2018-02-23,FAU,Gabrielle,Dischler,1,1,"21-17, 21-15"
DII,804," Deland, Fl ",2018-02-23,Eckerd ,Madison ,Whiting,2,1,"21-16, 21-18"
DII,804," Deland, Fl ",2018-02-23,Eckerd ,Arielle,Erillo,2,1,"21-16, 21-18"
DI,804," Deland, Fl ",2018-02-23,FAU,Brittany,Pellitteri,2,0,"21-16, 21-18"
DI,804," Deland, Fl ",2018-02-23,FAU,Carly,Scarborough,2,0,"21-16, 21-18"
DII,804," Deland, Fl ",2018-02-23,Eckerd ,Paula,Hoffman,3,1,"21-13, 21-18"
DII,804," Deland, Fl ",2018-02-23,Eckerd ,Kaitlyn,Sibson,3,1,"21-13, 21-18"
DI,804," Deland, Fl ",2018-02-23,FAU,Nicole,Navarro,3,0,"21-13, 21-18"
DI,804," Deland, Fl ",2018-02-23,FAU,Nicole,Grant,3,0,"21-13, 21-18"
DII,804," Deland, Fl ",2018-02-23,Eckerd ,Stephanie,Bogda,4,0,"21-6, 21-10"
DII,804," Deland, Fl ",2018-02-23,Eckerd ,Rachel,Cornatzer,4,0,"21-6, 21-10"
DI,804," Deland, Fl ",2018-02-23,FAU,Mackenzie,Morris,4,1,"21-6, 21-10"
DI,804," Deland, Fl ",2018-02-23,FAU,Erica,Brok,4,1,"21-6, 21-10"
DII,804," Deland, Fl ",2018-02-23,Eckerd ,Abigail,O'Ferrell,5,0,"21-7, 14-21, 15-10"
DII,804," Deland, Fl ",2018-02-23,Eckerd ,Jordan,Duffy,5,0,"21-7, 14-21, 15-10"
DI,804," Deland, Fl ",2018-02-23,FAU,Ashlan ,Cunningham,5,1,"21-7, 14-21, 15-10"
DI,804," Deland, Fl ",2018-02-23,FAU,Kaila,Dorish,5,1,"21-7, 14-21, 15-10"
NAIA,805," Mesa, Az ",2018-02-23,Benedictine,Jackie,Woods,1,0,"21-19, 17-21, 15-13"
NAIA,805," Mesa, Az ",2018-02-23,Benedictine,Kat,McCullough,1,0,"21-19, 17-21, 15-13"
DI,805," Mesa, Az ",2018-02-23,Nebraska,Jazz,Sweat,1,1,"21-19, 17-21, 15-13"
DI,805," Mesa, Az ",2018-02-23,Nebraska,Lauren,Stivrins,1,1,"21-19, 17-21, 15-13"
NAIA,805," Mesa, Az ",2018-02-23,Benedictine,Caitlan,Sammons,2,0,"21-10, 21-13"
NAIA,805," Mesa, Az ",2018-02-23,Benedictine,Sydney,Nelson,2,0,"21-10, 21-13"
DI,805," Mesa, Az ",2018-02-23,Nebraska,Annika,Albrecht,2,1,"21-10, 21-13"
DI,805," Mesa, Az ",2018-02-23,Nebraska,Kelly,Hunter,2,1,"21-10, 21-13"
NAIA,805," Mesa, Az ",2018-02-23,Benedictine,Dani,Burke,3,0,"21-16, 21-14"
NAIA,805," Mesa, Az ",2018-02-23,Benedictine,Megan,Block,3,0,"21-16, 21-14"
DI,805," Mesa, Az ",2018-02-23,Nebraska,Kenzie,Maloney,3,1,"21-16, 21-14"
DI,805," Mesa, Az ",2018-02-23,Nebraska,Sami,Slaughter,3,1,"21-16, 21-14"
