,name,last_season_end_rating,new_season_start_rating
90,Natasa Savovic,73.74550351921299,25.0
91,Laurel Weaver,72.27803956638094,25.0
92,Destiny Julye,72.09363804599664,25.0
93,Izzy Carey,71.9747832657289,25.0
94,Torrey Van Winden,71.83816183712894,25.0
95,Cristina Finan,71.73765438188559,25.0
96,Katie Zimmerman,71.06308049804878,25.0
97,Emily Maglio,70.99975425853692,25.0
98,Anete Brinke,70.5403123121878,25.0
99,Erika Zembyla,70.50427441152196,25.0
100,Payton Chang,70.38453808177408,25.0
101,Ivana Vanjak,70.38453808177408,25.0
102,Macy Jerger,69.84796700278078,25.0
103,Kori Simpson,69.64445949845606,25.0
104,Heidi Dyer,69.42334758546333,25.0
105,Skylar Caputo,69.42334758546333,25.0
106,Hailey Harward,69.18493566361786,25.0
107,Olivia Macdonald,68.91458139420777,25.0
108,Olivia Hallaran,68.91458139420776,25.0
109,Megan Nash,67.92105442750628,25.0
110,Olivia Powers,67.7847789257448,25.0
111,Sierra Sanchez,67.67204187149683,25.0
112,Macie Tendrich,67.61290155968729,25.0
113,Katie Friesen,67.60694007512362,25.0
114,Emily Corrigan,67.43790161942995,25.0
115,Candace Lacour,66.87259191485713,25.0
116,Giovanna Borgiotti,66.77584937273704,25.0
117,Ashley Glickert,66.77584937273704,25.0
118,Jessica Gaffney,66.61245473362503,25.0
119,Avei Logoleo,66.5468238970832,25.0
120,Shannon Williams,66.46344325751362,25.0
121,Riana Brennan,66.1715234154432,25.0
122,Cassie Strickland,66.08799493738614,25.0
123,Kimberly Ferguson,65.50509789862305,25.0
124,Carina Hoff,65.505097898623,25.0
125,Maddie Hills,65.2369962467769,25.0
126,Jessie Prichard,65.06805011189803,25.0
127,Sara Kovac,65.06805011189803,25.0
128,Kaylee Anderson,64.50739357180134,25.0
129,Carly Kan,64.40184624282657,25.0
130,Sophie Peel,64.1414995191125,25.0
131,Cassie House,64.1405964366977,25.0
132,Ashley Kelsey,64.1405964366977,25.0
133,Dani Barton,64.03565487375946,25.0
134,Katie Will,63.9104474873428,25.0
135,Olivia Rodberg,63.64304263942009,25.0
136,Avery Hoven,63.59280992845959,25.0
137,Ari Homayun,63.20786256607979,25.0
138,Raeann Greisen,63.023939911208956,25.0
139,Helene Thelle,62.90540282452842,25.0
140,Maddie Ligon,62.83058064172857,25.0
141,Sara Little,62.8165958538379,25.0
142,Carol Grasso,62.81659585383788,25.0
143,Tori Hinojosa,62.74162909073094,25.0
144,Kayla Armer,62.74162909073094,25.0
145,Jordan Anderson,62.61162450369019,25.0
146,Heather Weiss,62.60442535478772,25.0
147,Jessica Fourspring,62.58829654840127,25.0
148,Stephanie Pollnow,62.38675132049748,25.0
149,Katie Horton,62.37638573731584,25.0
150,Cati Leak,62.27447664182111,25.0
151,Krissy Mummey,62.233415666320504,25.0
152,Mckala Rhodes,62.233415666320504,25.0
153,Lexie Skalbeck,61.608619410059276,25.0
