,name,last_season_end_rating,new_season_start_rating
327,Kara Woodard,39.95317429694263,25.0
328,Snowy Burnam,39.9349225670305,25.0
329,Kayla Whetstone,39.9349225670305,25.0
330,Kara Bajema,39.69269096494794,25.0
331,Erin Bognar,39.67214964287998,25.0
332,Samantha Plaster,39.6470554272252,25.0
333,Kenzie Maloney,39.632743320278514,25.0
334,Maddie Leiphardt,39.62871578606543,25.0
335,Bailey Banks,39.57432220988236,25.0
336,Katya Silveira,39.57432220988234,25.0
337,Tanner Gauthier,39.56808435969911,25.0
338,Hanne De Schrijver,39.46760225163512,25.0
339,Kate Baldwin,39.426388655982606,25.0
340,Taylor Foley,39.380760466340504,25.0
341,Sydney Palmer,39.237851228091515,25.0
342,Riley Young,39.20858810520351,25.0
343,Kelli Iverson,39.07234534284352,25.0
344,Bailey Choy,39.05853513620579,25.0
345,Cierra Flood,38.97692357800177,25.0
346,Katie Cross,38.97692357800174,25.0
347,Kaila Dorish,38.955220718714635,25.0
348,Katrina Kernochan,38.87578801435462,25.0
349,Frances Giedraitis,38.84638300259814,25.0
350,Lydia Dimke,38.767100753880854,25.0
351,Julie Varga,38.707100150478304,25.0
352,Gabbi Moreno,38.639208242275856,25.0
353,Hi'ilawe Huddleston,38.546603843409436,25.0
354,Mia Mason,38.33827670168469,25.0
355,Alexa Richardson,38.25102777219976,25.0
356,Dora Lulic,38.156725389302494,25.0
357,Carla Cahill,38.15672538930247,25.0
358,Blake Sharp,38.14392046238411,25.0
359,Sallianne Napolitano,38.14250526825167,25.0
360,Mallory Mattingly,38.13298363569326,25.0
361,Bozena Culo,38.10252226951159,25.0
362,Delaney Driver,38.099306197336105,25.0
363,Nicole Navarro,38.04780973318322,25.0
364,Claire Newlander,37.97904741203594,25.0
365,Julia Lewkowicz,37.96836929032982,25.0
366,Heather Pembroke,37.87141224701253,25.0
367,Carey Williams,37.74622701440413,25.0
368,Taylor Poncetta,37.662119351869826,25.0
369,Elli Merchant,37.648890734032044,25.0
370,Kellie Pernula,37.639572055751636,25.0
371,Katie Barker,37.56456424244207,25.0
372,Morgan Robinson,37.56456424244207,25.0
373,Rebecca Ingram,37.5312497409353,25.0
374,Kaitlyn Grice,37.5059728872542,25.0
375,MC Rogers,37.47272637627525,25.0
376,Sadie Anderson,37.429622273862876,25.0
377,Hannah Kirk,37.418638328337416,25.0
378,Brianna Vega,37.20232940270724,25.0
379,Avery Arellano,37.186641261390164,25.0
380,Kimberly Schnars,37.102337132601726,25.0
381,Jordan Schumacher,37.101964130123925,25.0
382,Brennan Miller,37.09431639440493,25.0
383,Haley Jared,37.03029280700619,25.0
384,Jo Kremer,36.957975311394485,25.0
385,Meagan McCall,36.93970271431384,25.0
386,Elli Gibson,36.91032218639903,25.0
387,Allie Elson,36.90034805857215,25.0
388,Katinka Krahn,36.815189780950256,25.0
389,Emily Reinking,36.755406150712695,25.0
390,Quinci Birker,36.71292783558576,25.0
391,Jaymee-Lee Bulda,36.67875301018049,25.0
392,Chloe Reinig,36.57242918662638,25.0
393,Taylor Agost,36.56353911765765,25.0
394,Lindsey Vander Weide,36.553274569322234,25.0
395,Kristen Castellanos,36.518105815239124,25.0
396,Cierra Simpson,36.518105815239124,25.0
397,Natalie Braun,36.429819584177196,25.0
398,Gabriella Becerra,36.386583432812174,25.0
399,Kaylee McClure,36.30706081101686,25.0
400,Lauren McMurray,36.296711704059405,25.0
401,Kinga Windisch,36.272447733599286,25.0
402,Mariana De Paula Silva,36.25798596048219,25.0
403,Natalie Honzovicova,36.22239296382175,25.0
404,Kristen Mead,36.02091928167841,25.0
405,Berkeley Oblad,35.97221726333259,25.0
406,Madi Wilkerson,35.93136322626954,25.0
407,Camille Araujo,35.87998183734876,25.0
408,Luiza Andrade,35.859371537721586,25.0
409,Mattie Johnson,35.81997690706638,25.0
410,Autumn Russell,35.73561667216552,25.0
411,Madison Fitzpatrick,35.665477189140546,25.0
412,Mattison Degarmo,35.65219417770167,25.0
413,Emily Lopes,35.652194177701666,25.0
414,Hailey Lindberg,35.649247391923424,25.0
415,Laura Gauta,35.61877534083781,25.0
416,Sienna Young,35.570644643251676,25.0
417,Marina Chavez,35.55073327711846,25.0
418,Kali Fluke,35.53009320574027,25.0
419,Aubrey Ezell,35.490745840593554,25.0
420,Jenna Panning,35.403251723709445,25.0
421,Jessica Johnson,35.39949398668312,25.0
422,Laura Parts,35.32529438246183,25.0
423,Shayla Schmidt,35.28865046540359,25.0
424,Mallory Waggoner,35.191496993407455,25.0
425,Morgan Kendrick,35.171019220458184,25.0
426,Madi Fitzsimmons,35.050603256762635,25.0
427,Sarah Kelly,34.935229850734615,25.0
428,Lilly Kessler,34.836090843504536,25.0
429,Carolyn Cain,34.7773735863789,25.0
430,Caroline Cordes,34.736192189627104,25.0
431,Caroline Skaff,34.68126915602359,25.0
432,Alexis Patterson,34.66979285645985,25.0
433,Alaina Chacon,34.641917519550326,25.0
434,Eden Hawes,34.490276494690754,25.0
435,Jaime Thomas,34.44807428524185,25.0
436,Lauren Petersen,34.320505725165,25.0
437,Kaylie Milton,34.22438597734496,25.0
438,Cristina Finan,33.93902562044278,25.0
439,Blessings Dunn,33.914149620955676,25.0
440,Ashley McGinn,33.79924118023343,25.0
441,Jacey Smith,33.77984755748913,25.0
442,Kendall Bosse,33.77984755748913,25.0
443,Allyssah Fitterer,33.60015155327328,25.0
444,August Raskie,33.594456348214536,25.0
445,Jamie Stivers,33.465842246102284,25.0
446,Tatum Ballard,33.41735923961138,25.0
447,Kenzie Koerber,33.40984860306531,25.0
448,Macey Hayden,33.36684723823493,25.0
449,Josie Cole,33.32832527134271,25.0
450,Ryann Thomison,33.23493461274119,25.0
451,Skyler Takeda,33.12686496921688,25.0
452,Chandler Clark,33.035790096627316,25.0
453,Sara Boothe,33.02126448730997,25.0
454,Hannah Edelman,33.0200370551182,25.0
455,Tessie Powers,33.01600643653159,25.0
456,Eighmy Dobbins,32.96095108552552,25.0
457,Shannon Richardson,32.943196921161025,25.0
458,Summer Avery,32.94028745265777,25.0
459,Katelyn Theiss,32.91121837707094,25.0
460,Megan McGrath,32.89278047390363,25.0
461,Casey Justice,32.834066336424016,25.0
462,Kristy Wieser,32.81645546228099,25.0
463,Candice Denny,32.800210841653346,25.0
464,Brooke Moore,32.6885248381704,25.0
465,Hailey Hughes,32.62328976157912,25.0
466,Lauren Conati,32.55953167879304,25.0
467,Nicolette Pinkney,32.55953167879304,25.0
468,Haley Turner,32.48458308145766,25.0
469,Brittany Pellitteri,32.478159917238244,25.0
470,Ashley Bauchert,32.30416152036072,25.0
471,Sarah Savoca,32.29483531891332,25.0
472,Kelsey Larsen,32.17123697172107,25.0
473,Ali Eager,32.02040859754615,25.0
474,Kyla Augustine,31.851856524639004,25.0
475,Thaliana Grajeda,31.67058623791816,25.0
476,Sami Slaughter,31.57407865641418,25.0
477,Breann Robinson,31.481536095430155,25.0
478,Katelyn Mueller,31.465385225384757,25.0
