,division,rank,name,rating,playerid,college,primary position,date
513,DI,514,Kendall Murr,25.896039550813487,1265,Jacksonville,2,2018-04-21
514,DI,515,Demi McInnis,25.72160590584558,1872,Texas A&M Corpus Christi,3,2018-04-20
515,DI,516,Gina Tillis,25.656523539406013,1159,LSU,5,2018-03-18
516,DI,517,Jennifer Laird,25.60188985141717,1353,Saint Mary's,5,2018-04-11
517,DI,518,Maya Daukas,25.588095010231864,1879,Texas A&M Corpus Christi,4,2018-04-22
518,DI,519,Jessica Manley,25.582780302448867,888,Cal Poly SLO,2,2018-04-14
519,DI,520,Franky Harrison,25.490710751084656,122,South Carolina,5,2018-05-04
520,DI,521,Claire Darland,25.434163144740594,1155,Austin Peay State,2,2018-04-20
521,DI,522,Madi Relaz,25.341192970225137,983,Grand Canyon,4,2018-04-19
522,DI,523,Gretchen Reinert,25.208249945887346,1916,Santa Clara,2,2018-04-20
523,DI,524,Ashley Slay,25.19416560144712,661,Austin Peay State,4,2018-04-20
524,DI,525,Sam Brinkmann,25.19071227088998,1649,Missouri State,3,2018-04-14
525,DI,526,Mikaela Mosquera,25.19071227088998,1657,Missouri State,3,2018-04-14
526,DI,527,Christina Mcafee,25.161672482542965,42,Tulane,5,2018-04-08
527,DI,528,Sierra Ellett,25.16029880939135,1200,ASU,2,2018-03-10
528,DI,529,Shawnee De Oliveira,25.134973927910853,1227,Cal State Northridge,5,2018-04-21
529,DI,530,Dora Beilin,25.104390537760665,779,Cal Poly SLO,5,2018-03-10
530,DI,531,Cianna Andrews,25.078759702688938,1231,"Cal State University, Sacramento",5,2018-04-14
531,DI,532,Ngozi Nwabuzoh,25.06421285646553,197,Santa Clara,3,2018-04-20
532,DI,533,Jordyn Miller,25.062369558526076,1004,Houston Baptist,4,2018-04-14
533,DI,534,Hayley Sturgeon,24.97608739830276,1967,San Jose State University,3,2018-04-07
534,DI,535,Lauren Sproule,24.928807214386882,99,Utah,5,2018-04-27
535,DI,536,Casey Justice,24.73454795294703,1025,UNF,5,2018-04-22
536,DI,537,Michelle Gajdka,24.695809208794056,204,Santa Clara,5,2018-04-20
537,DI,538,Lainy Thomas,24.672148851145245,749,USC,5,2018-03-24
538,DI,539,Willow Johnson,24.544965328938456,168,Oregon,3,2018-04-26
539,DI,540,Lauren Page,24.544965328938453,167,Oregon,3,2018-04-26
540,DI,541,Nora Buvarp Lavik,24.535853299617006,408,USF,3,2018-04-20
541,DI,542,Kylie Keeling,24.489926098850393,991,Mercer,4,2018-04-21
542,DI,543,Daniella Molinari,24.456222778332744,908,Cal State Northridge,4,2018-04-27
543,DI,544,Gabriella Johnston,24.267288090315954,1880,Texas A&M Corpus Christi,5,2018-04-14
544,DI,545,Anezka Szabo,24.23554579515739,1290,Nebraska,4,2018-02-25
545,DI,546,Chloe Newton,24.207544337770123,1308,Washington,5,2018-03-30
546,DI,547,Courtney Mullinax,24.16137304603655,898,UNC Wilmington,5,2018-04-21
547,DI,548,Erin Reineking,24.155030406726706,201,Santa Clara,5,2018-04-20
548,DI,549,Mikayla Vivens,24.108450317338953,2041,Houston Baptist,5,2018-04-22
549,DI,550,Maxine Walsh,24.06616802925172,1639,New Orleans,5,2018-04-22
550,DI,551,Kim Krutsinger,24.062485122230836,2119,Jacksonville State,5,2018-04-15
551,DI,552,Emily Baptista,24.050293669670538,311,Pacific,4,2018-04-21
552,DI,553,Taylor Odom,24.047035977864596,1914,Santa Clara,3,2018-04-20
553,DI,554,Maya Watkins,24.027137616904326,1215,Boise State,4,2018-04-21
554,DI,555,Meagan Carter,24.0109507886642,1006,Houston Baptist,5,2018-04-14
555,DI,556,Naomi Overstreet,23.95080804004917,609,Texas A&M Corpus Christi,5,2018-04-22
556,DI,557,Erin Indermill,23.910123430157828,227,Cal State Northridge,4,2018-04-27
557,DI,558,Holland Ponthieux,23.90200704986791,602,ULM,5,2018-04-14
558,DI,559,Sabrina Blackwell,23.855347109258055,1499,USF,4,2018-04-20
559,DI,560,Rhyan Rand,23.834251520998745,2003,New Orleans,5,2018-03-25
560,DI,561,Shaylee Befus,23.833477339503048,1263,Jacksonville,4,2018-04-22
561,DI,562,Ashtin Olin,23.800481781854543,1233,"Cal State University, Sacramento",3,2018-04-27
562,DI,563,Phoebe Grace,23.746325400921126,1136,Utah,5,2018-04-15
563,DI,564,Kylee Johnson,23.678288942726237,1220,Boise State,3,2018-04-21
564,DI,565,Abbey Wilson,23.650846589995258,1303,New Mexico,5,2018-04-21
565,DI,566,Kaitlyn Lines,23.576339541907775,1312,Pacific,5,2018-04-14
566,DI,567,Fernanda Vido,23.5575483437384,1968,San Jose State University,1,2018-02-25
567,DI,568,Rebekah Brodbeck,23.527573038142148,1036,Georgia State,4,2018-03-24
568,DI,569,Anna McCreadie,23.498742231963156,1913,Santa Clara,2,2018-04-20
569,DI,570,Cassidy Rosso,23.39754517530196,907,Cal State Northridge,4,2018-04-27
570,DI,571,Kendyl Brennan,23.360542236737732,963,Tulane,5,2018-03-30
571,DI,572,Jessie Wachtman,23.340421748425776,679,Morehead State,1,2018-04-20
572,DI,573,Liz Allen,23.340421748425776,676,Morehead State,1,2018-04-20
573,DI,574,Madison Miller,23.326976411376023,851,New Orleans,3,2018-04-08
574,DI,575,Kat Anderson,23.187531199824306,46,Stanford,5,2018-04-26
575,DI,576,Ally Carr,23.153452743220324,1638,New Orleans,5,2018-04-22
576,DI,577,Tatiana San Juan,22.99442871486726,198,Santa Clara,4,2018-04-11
577,DI,578,Samantha Drechsel,22.812694955555514,2107,Washington,5,2018-04-28
578,DI,579,Caroline Finnell,22.736341874939406,1653,Missouri State,4,2018-04-14
579,DI,580,Aubrey Cheffey,22.706928260815378,1650,Missouri State,2,2018-03-17
