,Name,Year,Height,Hometown/HS,Team,mu,sigma
118,Marisa Ramsey,Fr,5'7,"Laguna Niguel, Ca",Long Beach State,29.04046540184941,2.1238521062633904
119,Mary Jo McBride,So,5'9,"Paradise Valley, Az",Long Beach State,25.0,8.333333333333334
120,Megan Kruidhof,Jr,6'0,"Lakewood, Ca",Long Beach State,39.86156409612403,1.9091145528466555
121,Mina Andjelkovic,Fr,6'1,"Belgrade, Serbia",Long Beach State,25.0,8.333333333333334
122,Monika Simkova,Fr,6'1,"Malacky, Slovakia",Long Beach State,25.0,8.333333333333334
123,Nele Barber,Sr,6'0,"Berlin, Germany",Long Beach State,41.41827304265798,1.8833034028729432
124,Nicci Reinking,Fr,5'10,"Fountain Valley, Ca",Long Beach State,49.59212241123236,1.8833034028729432
125,Rachel Nieto,Sr,5'10,"Walnut Creek, Ca",Long Beach State,39.86156409612403,1.9091145528466555
126,Radi Marinova,Fr,6'1,"Sofia, Bulgaria",Long Beach State,25.0,8.333333333333334
127,Ravena Bailey,Fr,5'6,"Escondido, Ca",Long Beach State,25.0,8.333333333333334
128,Sasha Karelov,Sr,5'9,"Raleigh,N.C",Long Beach State,41.41827304265798,1.8833034028729432
129,Tegan Curren,Fr,5'10,"Paso Robles, Ca",Long Beach State,25.0,8.333333333333334
130,YiZhi Xue,So,6'4,"Nanjing, China",Long Beach State,25.0,8.333333333333334
131,Zoi Konstantopoulou,Jr,6'0,"Limassol, Cyprus",Long Beach State,49.59212241123236,1.8833034028729432
132,Abby Waldburger,So,5'10,"La Jolla, Ca",Cal,29.884845435461166,2.088947496830355
133,Alexia Inman,Fr,6'1,"Manhattan Beach, Ca",Cal,41.89154268995687,2.055608074416635
134,Bridget Gustafson,So,,"Naperville, Ill",Cal,25.0,8.333333333333334
135,Bryce Bark,Sr,6'0,"Palos Verdes Estates, Ca",Cal,31.300113961837276,2.718867490932981
136,Camille  Stepanof,So,5'4,"San Diego, Ca",Cal,25.0,8.333333333333334
137,Caroline Schafer,Fr,6'0,"Orinda, Ca",Cal,31.300113961837276,2.718867490932981
138,Cassidy Drury-Pullen,Fr,5'7,"Santa Barbara, Ca",Cal,25.0,8.333333333333334
139,Grace Campbell,Jr,6'0,"Manhattan Beach, Ca",Cal,43.42449014134431,2.023732267234736
140,Iya Lindahl,So,5'8,"San Diego, Ca",Cal,41.89154268995687,2.055608074416635
141,Jacqueline Ribeiro,Fr,5'11,"Austin, Tx",Cal,25.0,8.333333333333334
